@relation pacman-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast

@attribute pos_x numeric
@attribute pos_y numeric
@attribute ghost1_alive {0,1}
@attribute ghost2_alive {0,1}
@attribute ghost3_alive {0,1}
@attribute ghost4_alive {0,1}
@attribute ghost1_pos_x numeric
@attribute ghost1_pos_y numeric
@attribute ghost2_pos_x numeric
@attribute ghost2_pos_y numeric
@attribute ghost3_pos_x numeric
@attribute ghost3_pos_y numeric
@attribute ghost4_pos_x numeric
@attribute ghost4_pos_y numeric
@attribute distance_to_ghost1 numeric
@attribute distance_to_ghost2 numeric
@attribute distance_to_ghost3 numeric
@attribute distance_to_ghost4 numeric
@attribute relative_distance_ghost1_x numeric
@attribute relative_distance_ghost1_y numeric
@attribute relative_distance_ghost2_x numeric
@attribute relative_distance_ghost2_y numeric
@attribute relative_distance_ghost3_x numeric
@attribute relative_distance_ghost3_y numeric
@attribute relative_distance_ghost4_x numeric
@attribute relative_distance_ghost4_y numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute score numeric
@attribute chosen_move {1,2,3,4,5}

@data
1,17,1,1,1,1,5,9,11,4,17,5,25,13,19,24,29,31,-4,8,-10,13,-16,12,-24,4,1,1,0,0,0,2
1,16,1,1,1,1,5,10,11,3,17,4,25,14,19,24,29,29,-4,6,-10,13,-16,12,-24,2,1,1,1,0,-1,2
1,15,1,1,1,1,6,10,11,4,17,4,24,14,19,22,28,27,-5,5,-10,11,-16,11,-23,1,1,1,1,0,-2,2
1,14,1,1,1,1,6,9,11,5,17,4,25,14,17,20,27,29,-5,5,-10,9,-16,10,-24,0,1,1,1,0,-3,2
1,13,1,1,1,1,5,9,11,5,18,4,25,13,15,19,27,31,-4,4,-10,8,-17,9,-24,0,1,1,0,0,-4,2
1,12,1,1,1,1,5,9,11,5,18,4,25,13,14,18,26,30,-4,3,-10,7,-17,8,-24,-1,1,1,1,0,-5,2
1,11,1,1,1,1,5,9,11,4,19,4,25,13,13,18,28,31,-4,2,-10,7,-18,7,-24,-2,1,1,0,0,-6,2
1,10,1,1,1,1,6,9,11,5,18,4,25,14,13,16,28,31,-5,1,-10,5,-17,6,-24,-4,1,1,0,0,-7,2
1,9,1,1,1,1,5,9,11,5,18,3,25,14,11,15,30,32,-4,0,-10,4,-17,6,-24,-5,1,1,0,0,-8,2
1,8,1,1,1,1,5,9,10,5,19,3,25,13,10,13,32,34,-4,-1,-9,3,-18,5,-24,-5,1,1,0,0,-9,2
1,7,1,1,1,1,5,10,9,5,20,3,25,13,10,11,34,35,-4,-3,-8,2,-19,4,-24,-6,1,1,0,0,-10,2
1,6,1,1,1,1,6,10,9,5,20,3,25,14,10,10,35,35,-5,-4,-8,1,-19,3,-24,-8,1,1,1,0,-11,2
2,6,1,1,1,1,6,9,9,6,19,3,25,13,8,8,33,35,-4,-3,-7,0,-17,3,-23,-7,0,1,1,1,-12,3
3,6,1,1,1,1,6,8,9,7,20,3,25,14,6,8,33,33,-3,-2,-6,-1,-17,3,-22,-8,1,1,1,1,-13,3
3,7,1,1,1,1,6,8,10,7,19,3,25,14,5,10,33,34,-3,-1,-7,0,-16,4,-22,-7,1,1,1,0,-14,1
3,8,1,1,1,1,6,9,9,7,19,4,25,14,5,10,33,35,-3,-1,-6,1,-16,4,-22,-6,1,1,1,0,-15,1
3,9,1,1,1,1,5,9,10,7,20,4,25,13,3,12,35,37,-2,0,-7,2,-17,5,-22,-4,1,1,1,0,-16,1
4,9,1,1,1,1,6,9,10,7,19,4,25,13,3,11,33,36,-2,0,-6,2,-15,5,-21,-4,1,1,1,1,-17,3
5,9,1,1,1,1,6,8,9,7,19,5,25,13,3,9,31,35,-1,1,-4,2,-14,4,-20,-4,1,1,1,1,-18,3
5,8,0,1,1,1,1,1,9,6,19,4,25,14,-1,7,31,33,4,7,-4,2,-14,4,-20,-6,1,1,1,1,-19,2
5,7,0,1,1,1,1,1,9,6,19,5,25,15,-1,6,29,31,4,6,-4,1,-14,2,-20,-8,1,1,1,1,180,2
5,6,0,1,1,1,1,1,10,6,19,6,25,16,-1,6,27,31,4,5,-5,0,-14,0,-20,-10,1,1,1,1,179,2
6,6,0,1,1,1,1,1,11,6,19,6,25,15,-1,6,26,29,5,5,-5,0,-13,0,-19,-9,1,0,1,1,178,3
7,6,0,1,1,1,1,1,11,7,19,6,25,16,-1,6,25,29,6,5,-4,-1,-12,0,-18,-10,0,0,1,1,177,3
8,6,0,1,1,1,1,1,10,7,19,6,25,17,-1,4,24,29,7,5,-2,-1,-11,0,-17,-11,1,1,1,1,176,3
8,7,0,1,1,1,1,1,9,7,18,6,25,18,-1,2,22,29,7,6,-1,0,-10,1,-17,-11,1,1,1,0,175,1
9,7,0,0,1,1,1,1,3,1,18,6,24,18,-1,-1,21,27,8,6,6,6,-9,1,-15,-11,1,1,1,1,174,3
10,7,0,0,1,1,1,1,3,1,18,5,25,18,-1,-1,21,27,9,6,7,6,-8,2,-15,-11,1,1,1,1,373,3
11,7,0,0,1,1,1,1,3,1,18,5,25,17,-1,-1,20,25,10,6,8,6,-7,2,-14,-10,1,1,0,1,372,3
11,8,0,0,1,1,1,1,3,1,19,5,25,17,-1,-1,20,24,10,7,8,7,-8,3,-14,-9,1,1,0,1,371,1
11,9,0,0,1,1,1,1,3,1,19,5,25,18,-1,-1,19,24,10,8,8,8,-8,4,-14,-9,1,1,0,1,370,1
11,10,0,0,1,1,1,1,3,1,19,4,25,17,-1,-1,19,22,10,9,8,9,-8,6,-14,-7,1,1,0,1,369,1
11,11,0,0,1,1,1,1,3,1,18,4,25,17,-1,-1,17,21,10,10,8,10,-7,7,-14,-6,1,1,0,1,368,1
11,12,0,0,1,1,1,1,3,1,18,5,25,18,-1,-1,15,21,10,11,8,11,-7,7,-14,-6,0,1,1,1,367,1
12,12,0,0,1,1,1,1,3,1,18,5,25,17,-1,-1,14,19,11,11,9,11,-6,7,-13,-5,0,0,1,1,366,3
