map,pacman,game,points
labAA1.lay,BasicAgentAA,1,184
labAA1.lay,BasicAgentAA,2,162
labAA1.lay,BasicAgentAA,3,164
labAA1.lay,BasicAgentAA,4,172
labAA1.lay,BasicAgentAA,5,175
labAA1.lay,BasicAgentAA,6,177
labAA1.lay,BasicAgentAA,7,183
labAA1.lay,BasicAgentAA,8,177
labAA1.lay,BasicAgentAA,9,184
labAA1.lay,BasicAgentAA,10,183
labAA1.lay,BasicAgentAA,11,185
labAA1.lay,BasicAgentAA,12,187
labAA1.lay,BasicAgentAA,13,181
labAA1.lay,BasicAgentAA,14,180
labAA1.lay,BasicAgentAA,15,184
labAA1.lay,BasicAgentAA,16,174
labAA1.lay,BasicAgentAA,17,180
labAA1.lay,BasicAgentAA,18,187
labAA1.lay,BasicAgentAA,19,170
labAA1.lay,BasicAgentAA,20,186
labAA1.lay,BasicAgentAA,21,183
labAA1.lay,BasicAgentAA,22,184
labAA1.lay,BasicAgentAA,23,175
labAA1.lay,BasicAgentAA,24,182
labAA1.lay,BasicAgentAA,25,177
labAA1.lay,BasicAgentAA,26,180
labAA1.lay,BasicAgentAA,27,183
labAA1.lay,BasicAgentAA,28,179
labAA1.lay,BasicAgentAA,29,178
labAA1.lay,BasicAgentAA,30,187
labAA1.lay,BasicAgentAA,31,174
labAA1.lay,BasicAgentAA,32,179
labAA1.lay,BasicAgentAA,33,180
labAA1.lay,BasicAgentAA,34,183
labAA1.lay,BasicAgentAA,35,180
labAA1.lay,BasicAgentAA,36,182
labAA1.lay,BasicAgentAA,37,182
labAA1.lay,BasicAgentAA,38,186
labAA1.lay,BasicAgentAA,39,185
labAA1.lay,BasicAgentAA,40,179
labAA1.lay,BasicAgentAA,41,181
labAA1.lay,BasicAgentAA,42,186
labAA1.lay,BasicAgentAA,43,180
labAA1.lay,BasicAgentAA,44,169
labAA1.lay,BasicAgentAA,45,179
labAA1.lay,BasicAgentAA,46,175
labAA1.lay,BasicAgentAA,47,186
labAA1.lay,BasicAgentAA,48,183
labAA1.lay,BasicAgentAA,49,183
labAA1.lay,BasicAgentAA,50,181
labAA1.lay,BasicAgentAA,51,183
labAA1.lay,BasicAgentAA,52,180
labAA1.lay,BasicAgentAA,53,179
labAA1.lay,BasicAgentAA,54,184
labAA1.lay,BasicAgentAA,55,184
labAA1.lay,BasicAgentAA,56,177
labAA1.lay,BasicAgentAA,57,181
labAA1.lay,BasicAgentAA,58,174
labAA1.lay,BasicAgentAA,59,182
labAA1.lay,BasicAgentAA,60,176
labAA1.lay,BasicAgentAA,61,179
labAA1.lay,BasicAgentAA,62,172
labAA1.lay,BasicAgentAA,63,175
labAA1.lay,BasicAgentAA,64,183
labAA1.lay,BasicAgentAA,65,176
labAA1.lay,BasicAgentAA,66,183
labAA1.lay,BasicAgentAA,67,188
labAA1.lay,BasicAgentAA,68,179
labAA1.lay,BasicAgentAA,69,178
labAA1.lay,BasicAgentAA,70,183
labAA1.lay,BasicAgentAA,71,176
labAA1.lay,BasicAgentAA,72,180
labAA1.lay,BasicAgentAA,73,181
labAA1.lay,BasicAgentAA,74,184
labAA1.lay,BasicAgentAA,75,184
labAA1.lay,BasicAgentAA,76,173
labAA1.lay,BasicAgentAA,77,181
labAA1.lay,BasicAgentAA,78,182
labAA1.lay,BasicAgentAA,79,185
labAA1.lay,BasicAgentAA,80,186
labAA1.lay,BasicAgentAA,81,184
labAA1.lay,BasicAgentAA,82,175
labAA1.lay,BasicAgentAA,83,178
labAA1.lay,BasicAgentAA,84,187
labAA1.lay,BasicAgentAA,85,178
labAA1.lay,BasicAgentAA,86,180
labAA1.lay,BasicAgentAA,87,174
labAA1.lay,BasicAgentAA,88,172
labAA1.lay,BasicAgentAA,89,181
labAA1.lay,BasicAgentAA,90,184
labAA1.lay,BasicAgentAA,91,181
labAA1.lay,BasicAgentAA,92,182
labAA1.lay,BasicAgentAA,93,179
labAA1.lay,BasicAgentAA,94,182
labAA1.lay,BasicAgentAA,95,182
labAA1.lay,BasicAgentAA,96,173
labAA1.lay,BasicAgentAA,97,183
labAA1.lay,BasicAgentAA,98,183
labAA1.lay,BasicAgentAA,99,186
labAA1.lay,BasicAgentAA,100,180
Average Score: 180.08
Scores:        184, 162, 164, 172, 175, 177, 183, 177, 184, 183, 185, 187, 181, 180, 184, 174, 180, 187, 170, 186, 183, 184, 175, 182, 177, 180, 183, 179, 178, 187, 174, 179, 180, 183, 180, 182, 182, 186, 185, 179, 181, 186, 180, 169, 179, 175, 186, 183, 183, 181, 183, 180, 179, 184, 184, 177, 181, 174, 182, 176, 179, 172, 175, 183, 176, 183, 188, 179, 178, 183, 176, 180, 181, 184, 184, 173, 181, 182, 185, 186, 184, 175, 178, 187, 178, 180, 174, 172, 181, 184, 181, 182, 179, 182, 182, 173, 183, 183, 186, 180
Win Rate:      100/100 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
