map,pacman,game,points
labAA5.lay,BasicAgentAA,1,700
labAA5.lay,BasicAgentAA,2,778
labAA5.lay,BasicAgentAA,3,608
labAA5.lay,BasicAgentAA,4,591
labAA5.lay,BasicAgentAA,5,643
labAA5.lay,BasicAgentAA,6,559
labAA5.lay,BasicAgentAA,7,571
labAA5.lay,BasicAgentAA,8,606
labAA5.lay,BasicAgentAA,9,609
labAA5.lay,BasicAgentAA,10,587
labAA5.lay,BasicAgentAA,11,525
labAA5.lay,BasicAgentAA,12,723
labAA5.lay,BasicAgentAA,13,721
labAA5.lay,BasicAgentAA,14,764
labAA5.lay,BasicAgentAA,15,883
labAA5.lay,BasicAgentAA,16,798
labAA5.lay,BasicAgentAA,17,720
labAA5.lay,BasicAgentAA,18,697
labAA5.lay,BasicAgentAA,19,662
labAA5.lay,BasicAgentAA,20,584
labAA5.lay,BasicAgentAA,21,627
labAA5.lay,BasicAgentAA,22,864
labAA5.lay,BasicAgentAA,23,416
labAA5.lay,BasicAgentAA,24,861
labAA5.lay,BasicAgentAA,25,618
labAA5.lay,BasicAgentAA,26,654
labAA5.lay,BasicAgentAA,27,745
labAA5.lay,BasicAgentAA,28,587
labAA5.lay,BasicAgentAA,29,708
labAA5.lay,BasicAgentAA,30,338
labAA5.lay,BasicAgentAA,31,619
labAA5.lay,BasicAgentAA,32,425
labAA5.lay,BasicAgentAA,33,597
labAA5.lay,BasicAgentAA,34,644
labAA5.lay,BasicAgentAA,35,652
labAA5.lay,BasicAgentAA,36,638
labAA5.lay,BasicAgentAA,37,495
labAA5.lay,BasicAgentAA,38,674
labAA5.lay,BasicAgentAA,39,544
labAA5.lay,BasicAgentAA,40,677
labAA5.lay,BasicAgentAA,41,757
labAA5.lay,BasicAgentAA,42,599
labAA5.lay,BasicAgentAA,43,765
labAA5.lay,BasicAgentAA,44,635
labAA5.lay,BasicAgentAA,45,703
labAA5.lay,BasicAgentAA,46,797
labAA5.lay,BasicAgentAA,47,682
labAA5.lay,BasicAgentAA,48,558
labAA5.lay,BasicAgentAA,49,744
labAA5.lay,BasicAgentAA,50,444
labAA5.lay,BasicAgentAA,51,621
labAA5.lay,BasicAgentAA,52,606
labAA5.lay,BasicAgentAA,53,692
labAA5.lay,BasicAgentAA,54,631
labAA5.lay,BasicAgentAA,55,368
labAA5.lay,BasicAgentAA,56,679
labAA5.lay,BasicAgentAA,57,595
labAA5.lay,BasicAgentAA,58,675
labAA5.lay,BasicAgentAA,59,825
labAA5.lay,BasicAgentAA,60,714
labAA5.lay,BasicAgentAA,61,670
labAA5.lay,BasicAgentAA,62,544
labAA5.lay,BasicAgentAA,63,892
labAA5.lay,BasicAgentAA,64,675
labAA5.lay,BasicAgentAA,65,663
labAA5.lay,BasicAgentAA,66,467
labAA5.lay,BasicAgentAA,67,362
labAA5.lay,BasicAgentAA,68,407
labAA5.lay,BasicAgentAA,69,680
labAA5.lay,BasicAgentAA,70,558
labAA5.lay,BasicAgentAA,71,666
labAA5.lay,BasicAgentAA,72,641
labAA5.lay,BasicAgentAA,73,524
labAA5.lay,BasicAgentAA,74,848
labAA5.lay,BasicAgentAA,75,889
labAA5.lay,BasicAgentAA,76,542
labAA5.lay,BasicAgentAA,77,508
labAA5.lay,BasicAgentAA,78,528
labAA5.lay,BasicAgentAA,79,740
labAA5.lay,BasicAgentAA,80,648
labAA5.lay,BasicAgentAA,81,546
labAA5.lay,BasicAgentAA,82,820
labAA5.lay,BasicAgentAA,83,534
labAA5.lay,BasicAgentAA,84,758
labAA5.lay,BasicAgentAA,85,825
labAA5.lay,BasicAgentAA,86,664
labAA5.lay,BasicAgentAA,87,839
labAA5.lay,BasicAgentAA,88,690
labAA5.lay,BasicAgentAA,89,552
labAA5.lay,BasicAgentAA,90,413
labAA5.lay,BasicAgentAA,91,824
labAA5.lay,BasicAgentAA,92,610
labAA5.lay,BasicAgentAA,93,697
labAA5.lay,BasicAgentAA,94,543
labAA5.lay,BasicAgentAA,95,513
labAA5.lay,BasicAgentAA,96,631
labAA5.lay,BasicAgentAA,97,407
labAA5.lay,BasicAgentAA,98,276
labAA5.lay,BasicAgentAA,99,536
labAA5.lay,BasicAgentAA,100,848
Average Score: 637.8
Scores:        700, 778, 608, 591, 643, 559, 571, 606, 609, 587, 525, 723, 721, 764, 883, 798, 720, 697, 662, 584, 627, 864, 416, 861, 618, 654, 745, 587, 708, 338, 619, 425, 597, 644, 652, 638, 495, 674, 544, 677, 757, 599, 765, 635, 703, 797, 682, 558, 744, 444, 621, 606, 692, 631, 368, 679, 595, 675, 825, 714, 670, 544, 892, 675, 663, 467, 362, 407, 680, 558, 666, 641, 524, 848, 889, 542, 508, 528, 740, 648, 546, 820, 534, 758, 825, 664, 839, 690, 552, 413, 824, 610, 697, 543, 513, 631, 407, 276, 536, 848
Win Rate:      100/100 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
