game,score
1,835
2,925
3,793
4,611
5,856
6,651
7,903
8,732
9,204
10,848
11,861
12,797
13,932
14,940
15,647
16,568
17,636
18,801
19,1111
20,680
21,896
22,21
23,599
24,1078
25,693
26,975
27,1089
28,1169
29,753
30,1074
31,1155
32,998
33,1065
34,1156
35,1090
36,947
37,1012
38,790
39,1065
40,1138
41,1147
42,813
43,1170
44,1113
45,934
46,922
47,1058
48,1131
49,1087
50,1005
51,1014
52,716
53,1185
54,1027
55,882
56,988
57,920
58,1071
59,716
60,976
61,962
62,831
63,893
64,1168
65,930
66,781
67,1024
68,686
69,895
70,1014
71,462
72,884
73,1021
74,1112
75,920
76,1034
77,853
78,695
79,329
80,925
81,975
82,924
83,767
84,850
85,904
86,918
87,735
88,795
89,991
90,868
91,628
92,614
93,940
94,1082
95,1197
96,544
97,811
98,832
99,451
100,667
101,777
102,880
103,1009
104,760
105,970
106,730
107,923
108,1098
109,893
110,859
111,721
112,979
113,1110
114,1087
115,1126
116,1166
117,1152
118,1183
119,898
120,757
121,815
122,942
123,972
124,726
125,1053
126,857
127,1045
128,1001
129,1183
130,1124
131,409
132,1060
133,1197
134,1013
135,1083
136,1156
137,1039
138,931
139,42
140,1122
141,949
142,546
143,889
144,955
145,804
146,773
147,1105
148,777
149,891
150,986
151,886
152,952
153,778
154,789
155,1045
156,936
157,815
158,985
159,903
160,1050
161,822
162,1130
163,1029
164,1040
165,1054
166,835
167,1171
168,964
169,912
170,1044
171,850
172,904
173,1125
174,701
175,1183
176,748
177,899
178,955
179,918
180,678
181,564
182,840
183,1086
184,794
185,1182
186,1099
187,748
188,857
189,986
190,792
191,1130
192,944
193,1062
194,1037
195,1186
196,1138
197,1021
198,958
199,956
200,979
201,711
202,1017
203,930
204,983
205,532
206,973
207,793
208,743
209,783
210,1085
211,796
212,134
213,893
214,793
215,819
216,1180
217,960
218,949
219,1009
220,933
221,716
222,985
223,753
224,976
225,814
226,1152
227,780
228,1031
229,819
230,630
231,973
232,1087
233,1117
234,750
235,844
236,1064
237,588
238,1031
239,940
240,713
241,653
242,866
243,45
244,876
245,1115
246,797
247,1175
248,505
249,1077
250,899
251,1003
252,987
253,794
254,467
255,923
256,712
257,1115
258,812
259,1002
260,1000
261,1103
262,668
263,1035
264,1158
265,789
266,865
267,1001
268,1167
269,1043
270,986
271,1013
272,1077
273,1127
274,538
275,823
276,1017
277,1136
278,1151
279,1189
280,908
281,924
282,973
283,1036
284,1146
285,953
286,901
287,595
288,711
289,574
290,939
291,991
292,996
293,868
294,756
295,1053
296,1079
297,1138
298,984
299,843
300,826
301,615
302,1027
303,784
304,1022
305,773
306,835
307,834
308,999
309,991
310,1112
311,988
312,521
313,875
314,767
315,1105
316,979
317,893
318,972
319,1001
320,1015
321,1104
322,1090
323,928
324,1079
325,956
326,705
327,871
328,827
329,1001
330,1137
331,941
332,806
333,922
334,871
335,1058
336,800
337,1015
338,990
339,1092
340,1083
341,807
342,942
343,786
344,984
345,1097
346,987
347,1039
348,1113
349,1034
350,1083
351,1065
352,871
353,847
354,-425
355,666
356,668
357,1158
358,1177
359,1152
360,831
361,924
362,918
363,757
364,751
365,938
366,916
367,725
368,693
369,902
370,681
371,1150
372,723
373,1046
374,1013
375,852
376,434
377,841
378,814
379,771
380,793
381,972
382,752
383,996
384,1087
385,973
386,1035
387,508
388,845
389,906
390,1004
391,813
392,847
393,1111
394,1078
395,1088
396,1187
397,1014
398,624
399,1126
400,811
401,827
402,995
403,925
404,1120
405,1142
406,1175
407,757
408,1144
409,1075
410,917
411,1170
412,857
413,974
414,814
415,1156
416,823
417,974
418,941
419,1006
420,1132
421,1075
422,797
423,1149
424,1007
425,699
426,1143
427,1059
428,1031
429,1043
430,798
431,1005
432,737
433,872
434,1100
435,1106
436,1161
437,1098
438,887
439,1005
440,991
441,967
442,1032
443,1103
444,915
445,1090
446,989
447,1026
448,1031
449,951
450,1020
451,953
452,1000
453,1140
454,1185
455,971
456,1088
457,775
458,1185
459,945
460,1026
461,1059
462,899
463,1084
464,1107
465,1004
466,710
467,1024
468,836
469,1162
470,1121
471,906
472,998
473,1158
474,1169
475,752
476,859
477,1068
478,907
479,894
480,968
481,835
482,779
483,1086
484,1092
485,902
486,832
487,828
488,244
489,967
490,833
491,894
492,842
493,1009
494,1177
495,968
496,1089
497,757
498,1081
499,691
500,742
501,995
502,718
503,1150
504,1018
505,1185
506,1094
507,1160
508,944
509,1091
510,1194
511,1167
512,1151
513,1163
514,1134
515,1166
516,1093
517,1172
518,1016
519,882
520,775
521,949
522,896
523,377
524,896
525,1147
526,688
527,1205
528,963
529,1191
530,1047
531,1073
532,1107
533,742
534,718
535,884
536,781
537,1018
538,968
539,1157
540,820
541,833
542,650
543,930
544,988
545,751
546,1081
547,990
548,1146
549,1048
550,1002
551,1048
552,485
553,1018
554,1173
555,1196
556,1216
557,979
558,1218
559,866
560,1194
561,884
562,799
563,1031
564,908
565,822
566,550
567,738
568,811
569,697
570,1111
571,1059
572,1024
573,780
574,886
575,874
576,1165
577,1139
578,918
579,1099
580,1199
581,1156
582,1093
583,1004
584,794
585,1070
586,702
587,1091
588,1172
589,755
590,716
591,815
592,675
593,821
594,754
595,808
596,1131
597,836
598,790
599,763
600,837
601,939
602,1202
603,857
604,932
605,1140
606,478
607,1004
608,306
609,979
610,773
611,636
612,889
613,949
614,125
615,1007
616,787
617,867
618,1039
619,955
620,65
621,1188
622,947
623,692
624,1146
625,1081
626,1112
627,976
628,1026
629,1105
630,1020
631,942
632,994
633,906
634,1027
635,1160
636,1154
637,596
638,1000
639,1148
640,1140
641,914
642,699
643,1114
644,888
645,1094
646,976
647,1035
648,1116
649,385
650,1079
651,1127
652,966
653,1215
654,954
655,1091
656,956
657,883
658,986
659,1115
660,1037
661,826
662,1153
663,1046
664,755
665,911
666,689
667,1184
668,1120
669,827
670,791
671,1141
672,827
673,1121
674,813
675,1115
676,1175
677,953
678,1054
679,1010
680,1153
681,1153
682,1058
683,1186
684,1120
685,807
686,1175
687,810
688,817
689,1035
690,1117
691,802
692,1074
693,910
694,1082
695,901
696,940
697,1136
698,1118
699,1015
700,777
701,1076
702,744
703,957
704,1116
705,1136
706,1120
707,1181
708,1178
709,1156
710,746
711,882
712,1124
713,714
714,1102
715,854
716,939
717,1121
718,1182
719,1109
720,907
721,968
722,1167
723,1112
724,895
725,926
726,608
727,844
728,903
729,704
730,840
731,978
732,795
733,948
734,842
735,791
736,1012
737,1109
738,1171
739,873
740,975
741,747
742,1017
743,1070
744,1114
745,985
746,770
747,771
748,888
749,1132
750,1063
751,1184
752,988
753,905
754,995
755,1057
756,947
757,1000
758,1130
759,1107
760,1202
761,1110
762,946
763,832
764,720
765,979
766,742
767,980
768,821
769,913
770,1065
771,1126
772,1089
773,1020
774,913
775,1002
776,795
777,990
778,663
779,794
780,935
781,847
782,833
783,309
784,944
785,1003
786,899
787,1004
788,857
789,1079
790,861
791,711
792,814
793,913
794,744
795,955
796,950
797,1083
798,885
799,783
800,834
801,708
802,1064
803,1137
804,939
805,757
806,1167
807,1197
808,1103
809,830
810,1032
811,925
812,968
813,1076
814,887
815,1137
816,797
817,812
818,999
819,1111
820,1122
821,1135
822,997
823,1188
824,1118
