game,score
1,-68
2,-762
3,-103
4,-519
5,-1474
6,708
7,-290
8,-3048
9,-227
10,-432
11,-133
12,-909
13,-21
14,-2261
15,-1625
16,-865
17,-2263
18,726
19,-1043
20,-732
21,-1519
22,-787
23,-727
24,-1114
25,-3993
26,65
27,-9036
28,-1957
29,-716
30,-5556
31,-445
32,-1149
33,-542
34,-396
35,-1836
36,779
37,-561
38,-1587
39,-1237
40,-698
41,-931
42,-6249
43,-333
44,-4097
45,-343
46,250
47,-769
48,-2276
49,337
50,618
51,748
52,-4
53,-1678
54,-1150
55,-992
56,237
57,-3201
58,-303
59,190
60,-601
61,-84
62,-409
63,547
64,337
65,-71
66,-418
67,-316
68,-637
69,-1133
70,-3042
71,-656
72,-577
73,-669
74,55
75,-633
76,-1085
77,823
78,-1260
79,344
80,-2532
81,-2550
82,-1632
83,-1432
84,-921
85,-200
86,-681
87,-519
88,464
89,389
90,-2122
91,-1128
92,-963
93,-861
94,-73
95,-764
96,-111
97,-33
98,599
99,-114
100,-2475
101,602
102,-1724
103,-142
104,-136
105,-2073
106,219
107,-624
108,10
109,430
110,-1705
111,-731
112,-1912
113,18
114,-588
115,-2705
116,-722
117,-48
118,87
119,-1155
120,-250
121,-1134
122,-250
123,-2679
124,-1723
125,521
126,-4318
127,-4098
128,215
129,-113
130,-3254
131,-853
132,-820
133,677
134,112
135,-12
136,572
137,315
138,-890
139,87
140,-4157
141,-4271
142,-212
143,-3043
144,320
145,247
146,672
147,566
148,-1456
149,215
150,-4075
151,489
152,-967
153,-623
154,-348
155,-546
156,535
157,-1021
158,-1254
159,-3116
160,-4505
161,-1360
162,-99
163,-114
164,-962
165,-2448
166,-905
167,521
168,-1250
169,-919
170,-2946
171,547
172,692
173,91
174,792
175,-955
176,-274
177,-436
178,-7018
179,-482
180,-1595
181,63
182,684
183,-2091
184,-250
185,-2196
186,-9069
187,-466
188,-187
189,373
190,168
191,642
192,-135
193,-263
194,542
195,188
196,-1120
197,537
198,-3595
199,-111
200,-1761
201,-606
202,-5301
203,-190
204,423
205,329
206,-265
207,-1370
208,-1588
209,-1043
210,-1606
211,-115
212,-180
213,463
214,117
215,-114
216,191
217,254
218,-174
219,-9836
220,20
221,-264
222,-938
223,-212
224,334
225,-748
226,-208
227,-165
228,450
229,-489
230,35
231,-2041
232,-13753
233,228
234,-26
235,-339
236,-245
237,-401
238,-840
239,-433
240,-1318
241,734
242,348
243,-2500
244,-795
245,-663
246,-3583
247,-52
248,-237
249,205
250,42
251,-174
252,-291
253,-427
254,-475
255,-1664
256,-618
257,-1732
258,-720
259,-1264
260,898
261,-212
262,-218
263,-6953
264,-584
265,-610
266,-1262
267,266
268,-668
269,434
270,199
271,-297
272,-571
273,168
274,-6931
275,107
276,424
277,394
278,-8940
279,-1968
280,690
281,-9449
282,-604
283,208
284,-1518
285,638
286,-5262
287,-648
288,-374
289,-3344
290,-1532
291,-99
292,-273
293,224
294,397
295,-686
296,-1237
297,-2596
298,511
299,-176
300,-440
301,-1892
302,750
303,988
304,1029
305,997
306,506
307,636
308,849
309,764
310,971
311,665
312,493
313,758
314,916
315,422
316,1093
317,449
318,493
319,532
320,951
321,835
322,1062
323,1058
324,808
325,1178
326,1033
327,930
328,850
329,1136
330,963
331,1099
332,967
333,911
334,1026
335,853
336,500
337,1223
338,1019
339,1085
340,1076
341,1031
342,1101
343,1099
344,907
345,1104
346,1016
347,1223
348,1179
349,1227
350,1156
351,993
352,1117
353,1207
354,1150
355,1177
356,1113
357,1207
358,1081
359,937
360,1167
361,1225
362,1170
363,950
364,264
365,1001
366,1121
367,1148
368,1032
369,942
370,1222
371,1207
372,1099
373,1167
374,1057
375,994
376,1145
377,1164
378,1000
379,265
380,1068
381,1166
382,1194
383,1099
384,1202
385,800
386,1158
387,1014
388,1153
389,884
390,1012
391,1150
392,1079
393,1107
394,1212
395,1224
396,1197
397,1188
398,1174
399,1208
400,1170
401,1173
402,1223
403,-4333
404,-1628
405,-691
406,-23011
407,-1560
408,-1248
409,751
410,-200
411,-2138
412,-897
413,-1413
414,441
415,-457
416,-7067
417,-493
418,-2069
419,342
420,-749
421,-588
422,-1113
423,841
424,357
425,-26665
426,-172
427,32
428,-493
429,-6104
430,-515
431,-3365
432,441
433,848
434,554
435,-15450
436,720
437,1018
438,-5759
439,-6652
440,-2839
441,-4624
442,416
443,-5807
444,161
445,-151
446,520
447,469
448,586
449,967
450,-1138
451,-1096
452,-6325
453,1012
454,1039
455,1095
456,653
457,842
458,913
459,1071
460,883
461,953
462,896
463,1066
464,505
465,1046
466,624
467,714
468,950
469,834
470,1043
471,956
472,849
473,1064
474,1013
475,1201
476,1090
477,1165
478,1116
479,1085
480,1236
481,1200
482,1152
483,1200
484,1169
485,1087
486,1049
487,1222
488,1201
489,942
490,1210
491,1120
492,1098
493,166
494,1098
495,1147
496,959
497,1157
498,1138
499,1192
500,1148
501,1220
502,977
503,1204
504,1074
