game,score
1,547
2,731
3,794
4,319
5,356
6,820
7,973
8,490
9,0
10,1228
11,1035
12,835
13,834
14,834
15,890
16,1025
17,846
18,1194
19,946
20,917
21,1163
22,1193
23,1216
24,1229
25,891
26,1217
27,1188
28,1190
29,926
30,1035
31,1005
32,1234
33,1223
34,1046
35,1134
36,1227
37,1210
38,1034
39,1238
40,1208
41,1203
42,1212
43,1209
44,1220
45,1061
46,1197
47,1234
48,860
49,1214
50,1141
51,1215
52,1158
53,1054
54,1179
55,1197
56,993
57,1163
58,1173
59,1226
60,1026
61,1166
62,1239
63,1114
64,946
65,1100
66,1034
67,1243
68,1184
69,987
70,1244
71,1217
72,1111
73,1161
74,1033
75,1135
76,1009
77,1006
78,804
79,972
80,1183
81,1198
82,600
83,1194
84,1214
85,1008
86,898
87,1136
88,1240
89,1039
90,996
91,1034
92,1228
93,831
94,895
95,1222
96,956
97,1223
98,1209
99,1213
100,1070
