game,score
1,562
2,567
3,569
4,582
5,554
6,564
7,568
8,466
9,563
10,568
11,564
12,563
13,556
14,558
15,562
16,569
17,528
18,566
19,556
20,567
21,568
22,511
23,566
24,561
25,561
26,575
27,567
28,563
29,414
30,562
31,554
32,572
33,551
34,564
35,562
36,439
37,574
38,566
39,571
40,553
41,568
42,456
43,565
44,571
45,561
46,467
47,539
48,576
49,553
50,571
51,504
52,563
53,561
54,547
55,569
56,570
57,560
58,578
59,565
60,549
61,565
62,556
63,563
64,571
65,568
66,571
67,574
68,565
69,550
70,559
71,562
72,550
73,575
74,559
75,539
76,563
77,575
78,572
79,557
80,573
81,568
82,519
83,465
84,408
85,562
86,564
87,570
88,567
89,536
90,570
91,560
92,569
93,566
94,545
95,569
96,572
97,562
98,534
99,355
100,567
