game,score
1,763
2,753
3,763
4,765
5,761
6,763
7,765
8,765
9,763
10,765
11,761
12,765
13,763
14,765
15,765
16,757
17,761
18,753
19,759
20,761
21,765
22,761
23,761
24,759
25,759
26,755
27,759
28,765
29,761
30,763
31,763
32,759
33,763
34,763
35,763
36,763
37,765
38,761
39,757
40,761
41,755
42,765
43,757
44,763
45,763
46,761
47,761
48,755
49,765
50,763
51,759
52,757
53,761
54,765
55,765
56,765
57,763
58,759
59,761
60,763
61,757
62,765
63,761
64,757
65,763
66,765
67,763
68,765
69,759
70,765
71,757
72,765
73,763
74,755
75,765
76,759
77,765
78,761
79,759
80,763
81,761
82,765
83,765
84,765
85,763
86,765
87,763
88,765
89,761
90,763
91,763
92,763
93,757
94,753
95,763
96,761
97,761
98,763
99,751
100,753
