game,score
1,366
2,253
3,358
4,523
5,543
6,530
7,515
8,451
9,415
10,504
11,480
12,522
13,471
14,449
15,460
16,464
17,419
18,436
19,409
20,307
21,538
22,377
23,558
24,492
25,499
26,377
27,504
28,445
29,431
30,484
31,300
32,435
33,511
34,492
35,398
36,523
37,529
38,556
39,565
40,172
41,525
42,492
43,440
44,508
45,515
46,401
47,498
48,525
49,485
50,446
51,565
52,532
53,442
54,467
55,514
56,445
57,527
58,534
59,541
60,502
61,477
62,495
63,443
64,511
65,480
66,307
67,545
68,407
69,508
70,549
71,547
72,534
73,485
74,523
75,512
76,439
77,570
78,453
79,435
80,514
81,295
82,304
83,223
84,528
85,527
86,266
87,502
88,489
89,411
90,513
91,531
92,472
93,556
94,537
95,368
96,402
97,496
98,469
99,512
100,320
101,374
102,461
103,288
104,420
105,488
106,454
107,411
108,438
109,520
110,512
111,418
112,542
113,409
114,538
115,271
116,470
117,496
118,525
119,556
120,544
121,481
122,503
123,198
124,442
125,515
126,346
127,470
128,496
129,411
130,532
131,542
132,466
133,489
134,322
135,95
136,341
137,489
138,489
139,489
140,415
141,537
142,492
143,546
144,365
145,546
146,539
147,471
148,473
149,566
150,546
151,432
152,472
153,532
154,518
155,397
156,442
157,451
158,422
159,430
160,412
161,554
162,329
163,334
164,518
165,488
166,519
167,368
168,399
169,341
170,362
171,236
172,453
173,489
174,365
175,565
176,361
177,428
178,393
179,492
180,534
181,446
182,502
183,358
184,416
185,486
186,224
187,533
188,462
189,535
190,462
191,486
192,475
193,526
194,428
195,527
196,463
197,480
198,449
199,536
200,331
201,522
202,531
203,553
204,560
205,526
206,349
207,403
208,520
209,526
210,515
211,475
212,512
213,532
214,199
215,363
216,404
217,526
218,441
219,424
220,509
221,546
222,517
223,287
224,408
225,506
226,520
227,318
228,553
229,349
230,489
231,502
232,461
233,541
234,538
235,574
236,561
237,473
238,546
239,552
240,501
241,480
242,515
243,475
244,459
245,447
246,414
247,407
248,380
249,412
250,546
251,517
252,530
253,521
254,377
255,504
256,245
257,494
258,417
259,368
260,427
261,430
262,504
263,503
264,518
265,469
266,458
267,362
268,472
269,535
270,493
271,387
272,484
273,537
274,428
275,376
276,548
277,466
278,477
279,421
280,342
281,376
282,430
283,526
284,358
285,451
286,498
287,524
288,554
289,490
290,524
291,512
292,552
293,565
294,522
295,454
296,512
297,527
298,465
299,496
300,492
301,508
302,459
303,501
304,528
305,565
306,498
307,523
308,566
309,489
310,512
311,461
312,502
313,382
314,449
315,513
316,558
317,537
318,530
319,511
320,499
321,355
322,454
323,478
324,481
325,409
326,507
327,516
328,481
329,532
330,446
331,404
332,429
333,471
334,447
335,480
336,487
337,533
338,552
339,532
340,541
341,569
342,479
343,509
344,374
345,428
346,505
347,491
348,536
349,486
350,453
351,492
352,525
353,502
354,189
355,522
356,510
357,555
358,536
359,517
360,476
361,526
362,538
363,514
364,533
365,494
366,513
367,520
368,529
369,408
370,461
371,514
372,561
373,541
374,428
375,424
376,430
377,510
378,390
379,524
380,547
381,497
382,456
383,452
384,476
385,503
386,402
387,450
388,368
389,535
390,492
391,451
392,441
393,412
394,483
395,485
396,553
397,468
398,518
399,547
400,556
401,476
402,384
403,399
404,432
405,504
406,563
407,527
408,382
409,452
410,551
411,207
412,506
413,495
414,537
415,505
416,475
417,474
418,564
419,541
420,555
421,556
422,561
423,408
424,459
425,525
426,380
427,526
428,498
429,533
430,508
431,217
432,514
433,530
434,527
435,290
436,565
437,458
438,517
439,518
440,418
441,546
442,469
443,546
444,566
445,464
446,539
447,566
448,557
449,516
450,504
451,553
452,547
453,453
454,469
455,531
456,546
457,524
458,517
459,508
460,498
461,511
462,364
463,515
464,547
465,555
466,488
467,561
468,548
469,550
470,535
471,496
472,512
473,494
474,545
475,493
476,489
477,520
478,534
479,507
480,548
481,550
482,494
483,538
484,551
485,518
486,534
487,439
488,540
489,564
490,474
491,399
492,525
493,440
494,454
495,519
496,521
497,525
498,436
499,516
500,425
501,531
502,564
503,509
504,412
505,537
506,533
507,554
508,490
509,545
510,461
511,473
512,554
513,555
514,529
515,552
516,549
517,574
518,526
519,553
520,445
521,434
522,555
523,424
524,438
525,503
526,497
527,480
528,482
529,486
530,549
531,491
532,526
533,556
534,538
535,482
536,523
537,488
538,496
539,495
540,500
541,460
542,525
543,431
544,476
545,500
546,308
547,514
548,513
549,460
550,565
551,462
552,542
553,553
554,556
555,483
556,531
557,560
558,537
559,525
560,517
561,570
562,511
563,504
564,472
565,503
566,431
567,540
568,553
569,456
570,526
571,518
572,481
573,485
574,549
575,485
576,543
577,498
578,463
579,498
580,539
581,529
582,549
583,575
584,517
585,527
586,549
587,486
588,375
589,476
590,552
591,545
592,397
593,516
594,516
595,563
596,498
597,561
598,564
599,478
600,521
601,529
602,464
603,541
604,559
605,529
606,518
607,345
608,509
609,354
610,455
611,407
612,547
613,443
614,478
615,480
616,528
617,542
618,558
619,568
620,503
621,535
622,513
623,503
624,542
625,466
626,475
627,545
628,470
629,487
630,499
631,520
632,542
633,560
634,539
635,512
636,559
637,536
638,519
639,295
640,483
641,540
642,472
643,567
644,514
645,518
646,537
647,478
648,460
649,563
650,449
651,531
652,492
653,365
654,514
655,459
656,501
657,369
658,518
659,544
660,526
661,500
662,510
663,549
664,302
665,520
666,541
667,495
668,323
669,506
670,533
671,563
672,530
673,575
674,569
675,557
676,445
677,291
678,463
679,511
680,515
681,499
682,557
683,553
684,456
685,553
686,539
687,555
688,554
689,195
690,446
691,390
692,479
693,542
694,537
695,366
696,562
697,415
698,560
699,552
700,484
701,566
702,489
703,527
704,499
705,529
706,566
707,527
708,510
709,466
710,494
711,557
712,461
713,533
714,517
715,572
716,567
717,346
718,530
719,535
720,464
721,462
722,525
723,388
724,512
725,530
726,545
727,327
728,493
729,504
730,444
731,446
732,489
733,459
734,377
735,283
736,498
737,510
738,420
739,484
740,577
741,424
742,554
743,439
744,513
745,487
746,531
747,548
748,483
749,516
750,525
751,558
752,542
753,517
754,492
755,384
756,354
757,534
758,450
759,442
760,530
761,550
762,534
763,538
764,498
765,408
766,474
767,240
768,458
769,407
770,512
771,388
772,520
773,542
774,510
775,302
776,404
777,467
778,425
779,556
780,501
781,522
782,504
783,395
784,392
785,545
786,551
787,535
788,567
789,411
790,530
791,484
792,559
793,475
794,528
795,449
796,461
797,501
798,507
799,526
800,485
801,537
802,442
803,502
804,538
805,517
806,559
807,492
808,522
809,450
810,537
811,533
812,446
813,436
814,539
815,549
816,506
817,580
818,552
819,560
820,553
821,509
822,542
823,474
824,553
825,548
826,549
827,519
828,549
829,540
830,563
831,530
832,531
833,568
834,528
835,544
836,509
837,482
838,435
839,342
840,473
841,541
842,488
843,326
844,533
845,562
846,549
847,560
848,535
849,534
850,522
851,546
852,571
853,567
854,542
855,525
856,568
857,483
858,424
859,435
860,567
861,571
862,519
863,570
864,554
865,524
866,556
867,557
868,486
869,465
870,536
871,459
872,526
873,554
874,542
875,559
876,547
877,566
878,551
879,495
880,517
881,522
882,572
883,544
884,513
885,574
886,558
887,545
888,545
889,518
890,549
891,524
892,571
893,572
894,568
895,545
896,493
897,520
898,556
899,502
900,570
901,564
902,567
903,466
904,560
905,471
906,478
907,459
908,549
909,538
910,533
911,508
912,455
913,441
914,542
915,507
916,507
917,516
918,532
919,560
920,561
921,325
922,555
923,481
924,540
925,492
926,418
927,459
928,546
929,568
930,578
931,518
932,566
933,492
934,547
935,550
936,566
937,527
938,566
939,477
940,540
941,561
942,556
943,548
944,369
945,567
946,337
947,565
948,574
949,557
950,578
951,570
952,563
953,546
954,420
955,569
956,563
957,470
958,543
959,544
960,501
961,559
962,560
963,545
964,538
965,556
966,535
967,567
968,566
969,536
970,496
971,486
972,568
973,487
974,565
975,547
976,559
977,581
978,480
979,475
980,572
981,546
982,564
983,528
984,428
985,540
986,566
987,567
988,557
989,529
990,479
991,572
992,475
993,557
994,552
995,554
996,563
997,535
998,548
999,356
1000,569
1001,569
1002,493
1003,538
1004,560
1005,571
1006,482
1007,439
1008,544
1009,471
1010,522
1011,553
1012,566
1013,570
1014,553
1015,532
1016,548
1017,572
1018,511
1019,567
1020,573
1021,537
1022,550
1023,512
1024,460
1025,495
1026,560
1027,575
1028,554
1029,480
1030,379
1031,460
1032,469
1033,554
1034,467
1035,418
1036,567
1037,435
1038,415
1039,417
1040,549
1041,546
1042,487
1043,530
1044,559
1045,566
1046,542
1047,564
1048,386
1049,569
1050,557
1051,541
1052,557
1053,457
1054,574
1055,569
1056,555
1057,532
1058,543
1059,445
1060,566
1061,576
1062,536
1063,454
1064,573
1065,434
1066,561
1067,547
1068,463
1069,548
1070,548
1071,529
1072,545
1073,505
1074,555
1075,554
1076,561
1077,564
1078,503
1079,527
1080,539
1081,519
1082,370
1083,537
1084,571
1085,560
1086,504
1087,550
1088,359
1089,517
1090,576
1091,559
1092,568
1093,581
1094,563
1095,579
1096,484
1097,572
1098,489
1099,548
1100,570
