game,score
1,549
2,649
3,826
4,531
5,675
6,704
7,999
8,881
9,700
10,957
11,807
12,741
13,962
14,768
15,548
16,705
17,914
18,326
19,930
20,573
21,977
22,846
23,644
24,1111
25,328
26,932
27,1154
28,987
29,1032
30,1123
31,705
32,288
33,951
34,877
35,1146
36,283
37,1003
38,1135
39,1054
40,859
41,989
42,1162
43,1117
44,1018
45,1228
46,992
47,1114
48,932
49,931
50,1200
51,436
52,1154
53,936
54,873
55,974
56,1102
57,956
58,1118
59,1112
60,1112
61,531
62,1045
63,1151
64,1096
65,971
66,1011
67,1071
68,1039
69,1097
70,894
71,1006
72,1118
73,1177
74,954
75,1138
76,982
77,1122
78,1064
79,1189
80,1095
81,1157
82,1135
83,1170
84,969
85,992
86,1085
87,966
88,1008
89,1103
90,995
91,1059
92,667
93,1107
94,998
95,732
96,1115
97,1181
98,1167
99,982
100,949
101,1136
102,1155
103,872
104,922
105,1231
106,1021
107,979
108,1204
109,1216
110,1016
111,1162
112,789
113,875
114,786
115,1037
116,801
117,1142
118,1160
119,1188
120,1159
121,1140
122,1186
123,1166
124,575
125,185
126,1008
127,987
128,559
129,916
130,1042
131,976
132,743
133,1133
134,1085
135,1052
136,1031
137,1055
138,1106
139,996
140,1152
141,840
142,933
143,1032
144,1105
145,974
146,1039
147,1138
148,1081
149,1098
150,1117
151,1103
152,1105
153,1205
154,1179
155,1076
156,1084
157,1007
158,1166
159,1142
160,1163
161,1142
162,1184
163,1165
164,1178
165,936
166,1050
167,977
168,1187
169,1010
170,1098
171,1160
172,983
173,1054
174,1196
175,1126
176,1137
177,1095
178,1182
179,1014
180,1145
181,1052
182,1104
183,1141
184,1210
185,941
186,1050
187,971
188,879
189,1133
190,889
191,1084
192,1191
193,1068
194,1101
195,1117
196,1139
197,896
198,970
199,1089
200,935
201,1046
202,911
203,1072
204,805
205,872
206,1153
207,1159
208,1226
209,1093
210,1181
211,1075
212,1162
213,1100
214,900
215,1059
216,1186
217,1193
218,1213
219,1181
220,1030
221,1154
222,905
223,1077
224,1103
225,1124
226,1168
227,1187
228,879
229,912
230,954
231,899
232,1159
233,1162
234,1069
235,1078
236,1101
237,1156
238,1235
239,1196
240,1175
241,1001
242,878
243,956
244,1226
245,1148
246,750
247,1169
248,1053
249,1127
250,1159
251,1014
252,1153
253,1197
254,1100
255,1192
256,474
257,1138
258,1144
259,1088
260,1066
261,1240
262,561
263,1222
264,1214
265,1200
266,1137
267,1195
268,1027
269,970
270,1195
271,1210
272,1189
273,1188
274,950
275,1076
276,1225
277,991
278,1184
279,1009
280,1167
281,1212
282,1151
283,1221
284,1154
285,1139
286,958
287,1133
288,1181
289,1066
290,1122
291,1171
292,1125
293,870
294,1136
295,1119
296,1048
297,996
298,1168
299,1031
300,812
301,1140
302,1005
303,939
304,1229
305,1125
306,1128
307,1151
308,1165
309,970
310,1117
311,1175
312,992
313,1035
314,1179
315,1113
316,1114
317,1028
318,972
319,1125
320,1210
321,1152
322,1212
323,1026
324,1157
325,1224
326,1145
327,1238
328,1133
329,1188
330,1190
331,1032
332,1159
333,1166
334,1115
335,1172
336,1231
337,1173
338,1103
339,1037
340,1162
341,1149
342,1158
343,1199
344,1214
345,1148
346,1124
347,930
348,1189
349,1006
350,1141
351,1150
352,1098
353,1162
354,1172
355,1182
356,1180
357,1229
358,1168
359,1141
360,1183
361,1193
362,1062
363,1237
364,1225
365,1154
366,1243
