game,score
1,85
2,-34
3,39
4,-8
5,-47
6,144
7,175
8,103
9,178
10,82
11,41
12,73
13,117
14,134
15,178
16,94
17,96
18,175
19,37
20,171
21,175
22,-159
23,-251
24,150
25,-2
26,142
27,-14
28,106
29,167
30,46
31,111
32,138
33,-287
34,141
35,63
36,-128
37,96
38,116
39,143
40,125
41,41
42,157
43,96
44,134
45,47
46,167
47,156
48,104
49,128
50,-139
51,163
52,108
53,87
54,98
55,121
56,85
57,151
58,-162
59,-25
60,-109
61,81
62,168
63,134
64,-305
65,83
66,-315
67,166
68,-28
69,120
70,157
71,10
72,-142
73,148
74,110
75,149
76,82
77,-30
78,89
79,-25
80,156
81,89
82,177
83,101
84,75
85,166
86,79
87,141
88,19
89,119
90,22
91,92
92,176
93,102
94,15
95,101
96,158
97,112
98,-174
99,158
100,79
101,93
102,151
103,92
104,-50
105,13
106,3
107,142
108,172
109,87
110,8
111,-87
112,98
113,152
114,50
115,97
116,105
117,176
118,81
119,112
120,92
121,161
122,81
123,41
124,175
125,159
126,141
127,17
128,73
129,145
130,123
131,-25
132,88
133,-4
134,114
135,175
136,131
137,-210
138,143
139,71
140,153
141,-10
142,136
143,171
144,173
145,107
146,103
147,111
148,152
149,157
150,43
151,71
152,127
153,-3
154,118
155,115
156,79
157,113
158,36
159,140
160,-419
161,91
162,92
163,4
164,-37
165,95
166,50
167,109
168,178
169,145
170,142
171,180
172,138
173,145
174,-201
175,170
176,97
177,111
178,162
179,39
180,118
181,163
182,-326
183,184
184,113
185,161
186,-182
187,144
188,157
189,-138
190,88
191,175
192,94
193,180
194,47
195,85
196,-402
197,145
198,-139
199,-448
200,-104
201,141
202,-39
203,23
204,71
205,183
206,146
207,55
208,149
209,107
210,177
211,-2
212,132
213,133
214,154
215,158
216,79
217,116
218,77
219,-57
220,111
221,128
222,148
223,-99
224,-13
225,184
226,160
227,45
228,120
229,-148
230,131
231,167
232,-69
233,-21
234,107
235,-40
236,157
237,61
238,45
239,47
240,135
241,-48
242,93
243,152
244,-1
245,9
246,110
247,121
248,133
249,162
250,88
251,156
252,-26
253,159
254,155
255,-106
256,138
257,185
258,97
259,-138
260,63
261,127
262,-54
263,167
264,184
265,106
266,60
267,49
268,183
269,-106
270,101
271,-146
272,162
273,178
274,93
275,-3
276,150
277,-36
278,86
279,67
280,152
281,122
282,144
283,110
284,95
285,158
286,153
287,136
288,158
289,-5
290,128
291,5
292,141
293,68
294,176
295,118
296,30
297,163
298,60
299,177
300,16
301,180
302,181
303,80
304,-23
305,156
306,27
307,-34
308,126
309,35
310,165
311,113
312,75
313,123
314,148
315,151
316,14
317,94
318,104
319,136
320,67
321,104
322,163
323,-45
324,172
325,160
326,-109
327,58
328,114
329,-63
330,154
331,119
332,92
333,143
334,141
335,138
336,-42
337,48
338,83
339,81
340,95
341,151
342,131
343,-205
344,88
345,145
346,77
347,10
348,90
349,103
350,85
351,82
352,165
353,44
354,-8
355,127
356,125
357,154
358,181
359,142
360,-9
361,-5
362,-16
363,149
364,-9
365,-87
366,44
367,4
368,120
369,49
370,-36
371,153
372,12
373,22
374,172
375,105
376,-99
377,137
378,154
379,88
380,150
381,-162
382,103
383,122
384,94
385,-162
386,149
387,112
388,166
389,78
390,167
391,113
392,120
393,142
394,164
395,93
396,181
397,133
398,42
399,146
400,-14
401,127
402,182
403,170
404,174
405,163
406,-62
407,120
408,107
409,157
410,141
411,159
412,102
413,155
414,159
415,120
416,135
417,149
418,-59
419,169
420,102
421,147
422,161
423,109
424,86
425,182
426,172
427,20
428,5
429,178
430,67
431,-7
432,156
433,164
434,158
435,-106
436,118
437,89
438,-199
439,59
440,123
441,-12
442,171
443,172
444,73
445,105
446,105
447,142
448,121
449,169
450,147
451,187
452,177
453,166
454,57
455,-73
456,157
457,176
458,56
459,159
460,52
461,16
462,175
463,181
464,162
465,-53
466,82
467,20
468,181
469,151
470,20
471,159
472,10
473,114
474,150
475,176
476,163
477,170
478,179
479,93
480,114
481,116
482,132
483,184
484,96
485,47
486,108
487,132
488,29
489,93
490,105
491,168
492,122
493,160
494,176
495,131
496,-128
497,184
498,139
499,7
500,-9
501,179
502,153
503,-73
504,171
505,65
506,154
507,4
508,144
509,140
510,-43
511,45
512,154
513,182
514,-48
515,16
516,178
517,156
518,153
519,106
520,155
521,175
522,171
523,129
524,-155
525,161
526,135
527,153
528,172
529,91
530,171
531,-255
532,94
533,112
534,94
535,180
536,68
537,10
538,36
539,35
540,90
541,-4
542,55
543,126
544,89
545,137
546,53
547,17
548,166
549,178
550,166
551,180
552,56
553,89
554,181
555,85
556,174
557,-99
558,173
559,168
560,4
561,181
562,183
563,16
564,103
565,72
566,8
567,129
568,-171
569,-50
570,135
571,171
572,-313
573,154
574,145
575,10
576,50
577,153
578,175
579,168
580,176
581,153
582,170
583,71
584,165
585,-39
586,-127
587,81
588,3
589,107
590,106
591,-298
592,152
593,141
594,133
595,164
596,153
597,-1
598,105
599,106
600,-64
601,110
602,187
603,142
604,-7
605,69
606,137
607,165
608,112
609,183
610,64
611,168
612,178
613,173
614,169
615,103
616,178
617,178
618,176
619,113
620,150
621,172
622,7
623,-207
624,119
625,164
626,120
627,178
628,-128
629,178
630,185
631,181
632,161
633,54
634,130
635,129
636,172
637,137
638,75
639,141
640,112
641,-215
642,103
643,109
644,178
645,107
646,59
647,39
648,-37
649,-181
650,130
651,159
652,171
653,134
654,124
655,83
656,180
657,146
658,5
659,178
660,166
661,134
662,147
663,149
664,-37
665,124
666,183
667,177
668,169
669,91
670,-31
671,-39
672,108
673,157
674,63
675,159
676,110
677,171
678,156
679,130
680,-150
681,105
682,-88
683,185
684,183
685,-85
686,177
687,185
688,21
689,134
690,20
691,168
692,118
693,165
694,141
695,109
696,167
697,176
698,186
699,115
700,137
701,168
702,134
703,180
704,180
705,181
706,162
707,35
708,171
709,-172
710,155
711,154
712,132
713,182
714,174
715,142
716,168
717,-9
718,175
719,-34
720,79
721,147
722,58
723,185
724,110
725,158
726,114
727,176
728,148
729,111
730,-81
731,-58
732,143
733,142
734,182
735,184
736,172
737,49
738,98
739,116
740,147
741,138
742,113
743,-145
744,172
745,169
746,110
747,183
748,169
749,187
750,66
751,95
752,180
753,181
754,172
755,168
756,145
757,176
758,78
759,169
760,107
761,177
762,172
763,115
764,179
765,175
766,59
767,140
768,166
769,161
770,103
771,-262
772,-74
773,127
774,147
775,179
776,183
777,185
778,120
779,169
780,-257
781,163
782,151
783,87
784,149
785,-177
786,172
787,112
788,82
789,185
790,31
791,130
792,74
793,-45
794,166
795,-210
796,167
797,172
798,182
799,188
800,179
801,110
802,92
803,157
804,163
805,183
806,146
807,118
808,158
809,149
810,168
811,-28
812,119
813,176
814,63
815,97
816,159
817,122
818,167
819,152
820,160
821,48
822,115
823,106
824,77
825,171
826,68
827,157
828,33
829,166
830,121
831,178
832,-33
833,175
834,142
835,151
836,103
837,139
838,149
839,159
840,185
841,177
842,186
843,149
844,164
845,163
846,180
847,175
848,170
849,184
850,177
851,89
852,177
853,128
854,179
855,186
856,175
857,110
858,54
859,150
860,186
861,170
862,148
863,174
864,167
865,117
866,175
867,84
868,87
869,144
870,148
871,188
872,176
873,183
874,182
875,185
876,178
877,146
878,131
879,137
880,152
881,53
882,167
883,173
884,175
885,178
886,176
887,152
888,134
889,176
890,82
891,172
892,146
893,120
894,167
895,178
896,174
897,180
898,176
899,171
900,-42
901,188
902,186
