game,score
1,3
2,6
3,165
4,165
5,57
6,161
7,183
8,176
9,176
10,145
11,184
12,8
13,73
14,158
15,-2
16,-38
17,-407
18,146
19,112
20,174
21,165
22,178
23,135
24,67
25,-276
26,73
27,-310
28,6
29,179
30,-66
31,99
32,176
33,153
34,158
35,185
36,140
37,180
38,154
39,112
40,-48
41,181
42,102
43,138
44,143
45,-64
46,153
47,175
48,181
49,22
50,-79
51,158
52,100
53,175
54,180
55,163
56,163
57,77
58,164
59,119
60,162
61,167
62,181
63,165
64,8
65,149
66,166
67,173
68,114
69,176
70,164
71,169
72,84
73,112
74,154
75,174
76,160
77,182
78,-49
79,117
80,173
81,-18
82,43
83,103
84,163
85,109
86,126
87,144
88,-63
89,165
90,-32
91,151
92,186
93,174
94,127
95,85
96,114
97,159
98,137
99,114
100,164
101,-32
102,133
103,69
104,31
105,120
106,163
107,178
108,157
109,180
110,151
111,180
112,119
113,-188
114,-17
115,-3
116,-201
117,180
118,145
119,170
120,124
121,120
122,45
123,-33
124,161
125,155
126,-125
127,-50
128,8
129,111
130,127
131,186
132,177
133,82
134,66
135,106
136,-15
137,169
138,97
139,182
140,71
141,83
142,146
143,4
144,164
145,73
146,178
147,169
148,-67
149,45
150,78
151,159
152,163
153,180
154,161
155,123
156,93
157,121
158,32
159,23
160,141
161,177
162,129
163,158
164,149
165,178
166,9
167,145
168,183
169,142
170,163
171,-39
172,-48
173,-43
174,157
175,165
176,172
177,111
178,187
179,186
180,177
181,165
182,159
183,177
184,169
185,75
186,154
187,148
188,186
189,180
190,171
191,17
192,155
193,23
194,170
195,171
196,139
197,168
198,168
199,165
200,164
201,84
202,169
203,184
204,174
205,183
206,126
207,177
208,98
209,176
210,21
211,182
212,166
213,163
214,131
215,19
216,82
217,74
218,-104
219,180
220,101
221,184
222,175
223,174
224,94
225,72
226,160
227,102
228,145
229,-73
230,23
231,46
232,177
233,162
234,-58
235,156
236,-8
237,135
238,-96
239,174
240,23
241,169
242,181
243,171
244,187
245,101
246,95
247,174
248,124
249,178
250,-20
251,147
252,146
253,50
254,98
255,156
256,161
257,185
258,177
259,-72
260,167
261,158
262,-132
263,189
264,171
265,177
266,185
267,177
268,17
269,180
270,164
271,36
272,95
273,149
274,-207
275,172
276,-71
277,169
278,-4
279,179
280,146
281,17
282,150
283,138
284,183
285,-10
286,19
287,-18
288,108
289,173
290,-134
291,185
292,160
293,181
294,185
295,182
296,170
297,112
298,109
299,155
300,175
301,149
302,36
303,-84
304,154
305,183
306,146
307,185
308,181
309,174
310,179
311,179
312,172
313,166
314,167
315,173
316,-130
317,177
318,130
319,69
320,166
321,116
322,52
323,-153
324,182
325,114
326,87
327,172
328,179
329,177
330,124
331,140
332,109
333,132
334,174
335,161
336,159
337,171
338,138
339,180
340,-84
341,150
342,140
343,160
344,7
345,148
346,122
347,176
348,142
349,146
350,-86
351,169
352,160
353,172
354,166
355,50
356,-56
357,170
358,154
359,153
360,174
361,164
362,159
363,-282
364,154
365,127
366,-44
367,107
368,184
369,7
370,164
371,187
372,159
373,159
374,138
375,106
376,178
377,119
378,106
379,165
380,184
381,159
382,-46
383,162
384,-78
385,183
386,134
387,185
388,96
389,158
390,171
391,-29
392,177
393,95
394,-242
395,163
396,180
397,116
398,134
399,170
400,-130
401,155
402,180
403,132
404,174
405,82
406,185
407,130
408,113
409,-403
410,129
411,64
412,-48
413,118
414,178
415,175
416,101
417,45
418,175
419,-123
420,-48
421,161
422,-23
423,-29
424,41
425,181
426,165
427,174
428,169
429,154
430,157
431,-205
432,188
433,186
434,64
435,166
436,175
437,163
438,174
439,129
440,-13
441,146
442,-225
443,-111
444,183
445,174
446,170
447,170
448,172
449,143
450,104
451,68
452,125
453,163
454,131
455,161
456,62
457,-87
458,136
459,179
460,179
461,184
462,185
463,-68
464,140
465,170
466,134
467,185
468,181
469,177
470,175
471,6
472,-2
473,135
474,-289
475,182
476,159
477,95
478,128
479,109
480,167
481,118
482,169
483,128
484,181
485,157
486,46
487,-235
488,175
489,188
490,162
491,177
492,101
493,75
494,144
495,181
496,127
497,56
498,61
499,170
