game,score
1,324
2,625
3,693
4,655
5,821
6,642
7,348
8,767
9,855
10,673
11,781
12,633
13,849
14,610
15,790
16,728
17,441
18,801
19,638
20,590
21,691
22,582
23,716
24,906
25,605
26,946
27,724
28,919
29,658
30,947
31,606
32,943
33,996
34,749
35,887
36,339
37,562
38,742
39,730
40,732
41,714
42,685
43,848
44,587
45,970
46,929
47,975
48,793
49,738
50,821
51,917
52,591
53,864
54,761
55,458
56,787
57,894
58,570
59,700
60,853
61,480
62,784
63,1168
64,817
65,815
66,692
67,734
68,661
69,477
70,757
71,843
72,796
73,676
74,748
75,974
76,837
77,755
78,777
79,761
80,795
81,657
82,921
83,934
84,836
85,970
86,757
87,923
88,711
89,1053
90,872
91,580
92,795
93,565
94,781
95,999
96,1187
97,831
98,719
99,740
100,813
101,860
102,533
103,855
104,911
105,646
106,745
107,750
108,811
109,717
110,624
111,698
112,930
113,856
114,652
115,753
116,748
117,765
118,871
119,765
120,740
121,815
122,829
123,740
124,490
125,768
126,908
127,776
128,789
129,531
130,784
131,710
132,677
133,514
134,722
135,492
136,851
137,773
138,867
139,844
140,962
141,924
142,1045
143,707
144,807
145,915
146,955
147,794
148,964
149,751
150,890
151,854
152,659
153,762
154,750
155,839
156,682
157,669
158,750
159,665
160,805
161,1087
162,846
163,894
164,842
165,989
166,756
167,899
168,787
169,706
170,979
171,935
172,992
173,968
174,594
175,863
176,939
177,732
178,756
179,732
180,952
181,1033
182,970
183,668
184,1110
185,612
186,701
187,762
188,936
189,720
190,553
191,936
192,729
193,749
194,629
195,1108
196,687
197,788
198,766
199,727
200,913
201,1127
202,782
203,749
204,660
205,549
206,742
207,659
208,777
209,746
210,736
211,1110
212,1006
213,669
214,557
215,858
216,851
217,1095
218,757
219,860
220,1138
221,838
222,714
223,1209
224,765
225,943
226,850
227,924
228,715
229,711
230,740
231,744
232,747
233,531
234,656
235,932
236,766
237,675
238,836
239,900
240,744
241,671
242,568
243,796
244,784
245,587
246,959
247,733
248,763
249,723
250,887
251,919
252,688
253,812
254,845
255,1054
256,874
257,592
258,770
259,981
260,877
261,1023
262,735
263,631
