game,score
1,-127
2,331
3,437
4,327
5,-2747
6,173
7,69
8,-2941
9,153
10,-4507
11,-1011
12,138
13,-367
14,-1069
15,475
16,-1
17,405
18,-795
19,35
20,419
21,-3159
22,396
23,-199
24,372
25,-483
26,-2079
27,-365
28,-945
29,334
30,-857
31,483
32,333
33,-583
34,381
35,483
36,467
37,-207
38,257
39,408
40,347
41,249
42,335
43,325
44,323
45,437
46,393
47,186
48,327
49,211
50,363
51,281
52,91
53,463
54,-1259
55,517
56,543
57,527
58,545
59,273
60,481
61,375
62,527
63,527
64,547
65,545
66,507
67,453
68,559
69,551
70,433
71,540
72,511
73,525
74,505
75,543
76,547
77,537
78,527
79,547
80,551
81,543
82,551
83,-511
84,553
85,509
86,-2681
87,553
88,523
89,543
90,547
91,563
92,537
93,545
94,545
95,533
96,513
97,515
98,543
99,541
100,537
101,537
102,541
103,559
104,-718
105,347
106,555
107,-2125
108,563
109,-527
110,82
111,559
112,547
113,520
114,551
115,551
116,477
117,483
118,439
119,541
120,515
121,553
122,561
123,-1903
124,555
125,289
126,553
127,549
128,543
129,553
130,553
131,557
132,555
133,551
134,559
135,551
136,547
137,555
138,553
139,547
140,523
141,553
142,543
143,553
144,536
145,536
146,544
147,553
148,547
149,559
150,561
151,561
152,551
153,557
154,-3122
155,-727
156,547
157,559
158,557
159,537
160,517
161,565
162,349
163,549
164,549
165,555
166,449
167,-6523
168,561
169,557
170,569
171,567
172,555
173,281
174,567
175,553
176,561
177,565
178,545
179,549
180,545
181,563
182,553
183,547
184,561
185,555
186,549
187,551
188,547
189,557
190,549
191,543
192,561
193,557
194,557
195,563
196,545
197,541
198,549
199,559
200,557
201,561
202,561
203,527
204,-3994
205,-3819
206,-2543
207,485
208,555
209,559
210,449
211,559
212,557
213,559
214,519
215,553
216,551
217,555
218,567
219,559
220,-2405
221,521
222,549
223,541
224,553
225,-1727
226,547
227,199
228,537
229,555
230,541
231,557
232,549
233,547
234,539
235,559
236,559
237,557
238,539
239,545
240,563
241,547
242,557
243,567
244,545
245,543
246,557
247,543
248,549
249,551
250,541
251,533
252,555
253,551
254,569
255,569
256,569
257,569
258,569
259,569
260,569
261,-1697
262,83
263,507
264,529
265,547
266,-1603
267,521
268,483
269,543
270,517
271,571
272,571
273,571
274,571
275,571
276,-104
277,-416
278,368
279,698
280,64
281,190
282,10
283,384
284,-2110
285,526
286,456
287,652
288,898
289,-200
290,498
291,502
292,-238
293,590
294,-5700
295,490
296,490
297,548
298,570
299,682
300,710
301,506
302,352
303,582
304,622
305,694
306,678
307,-730
308,692
309,-377
310,363
311,537
312,543
313,-293
314,461
315,527
316,513
317,535
318,537
319,499
320,531
321,535
322,561
323,539
324,571
325,571
326,571
327,571
328,571
329,569
330,569
331,569
332,569
333,569
334,383
335,383
336,383
337,383
338,383
339,183
340,183
341,183
342,183
343,183
344,727
345,575
346,579
347,583
348,575
349,564
350,562
351,567
352,568
353,563
354,571
355,571
356,571
357,571
358,571
359,571
360,571
361,571
362,571
363,571
364,569
365,569
366,569
367,569
368,569
369,569
370,569
371,569
372,569
373,569
374,571
375,571
376,571
377,571
378,571
379,562
380,474
381,563
382,575
383,574
384,577
385,582
386,576
387,579
388,579
389,383
390,383
391,383
392,383
393,383
394,508
395,574
396,383
397,383
398,383
399,383
400,383
401,383
402,383
403,383
404,383
405,383
406,763
407,765
408,761
409,765
410,763
411,-552
412,608
413,-7970
414,-3234
415,-1296
416,-1460
417,-7612
418,765
419,765
420,765
421,763
422,759
423,286
424,434
425,4
426,726
427,774
428,80
429,420
430,926
431,168
432,622
433,540
434,-5108
435,-8998
436,-324
437,6
438,1142
439,1128
440,-1146
441,-224
442,-94
443,-2640
444,642
445,-1254
446,1060
447,1152
448,988
449,840
450,1148
451,-248
452,660
453,757
454,759
455,765
456,751
457,763
458,761
459,763
460,759
461,765
462,765
463,761
464,765
465,753
466,763
467,761
468,763
469,765
470,761
471,759
472,-467
473,-959
474,567
475,-2405
476,565
477,551
478,555
479,567
480,569
481,567
482,563
483,569
484,563
485,563
486,569
487,567
488,569
489,563
490,565
491,561
492,563
493,567
494,563
495,567
496,561
497,565
498,565
499,565
500,561
501,559
502,757
503,763
504,759
505,753
506,761
507,747
508,763
509,763
510,761
511,761
512,759
513,763
514,759
515,761
516,765
517,765
518,765
519,538
520,359
521,371
522,371
523,352
524,369
525,260
526,362
527,166
528,322
529,324
530,265
531,196
532,308
533,-33
534,360
535,353
536,345
537,359
538,372
539,-299
540,256
541,371
542,366
543,339
544,349
545,337
546,217
547,365
548,371
549,369
550,369
551,379
552,378
553,353
554,358
555,374
556,357
557,363
558,364
559,309
560,359
561,379
562,376
563,375
564,381
565,375
566,374
567,375
568,338
569,355
570,512
571,446
572,492
573,425
574,509
575,440
576,465
577,536
578,501
579,553
580,440
581,556
582,528
583,518
584,533
585,461
586,552
587,496
588,564
589,489
590,551
591,516
592,570
593,544
594,562
595,397
596,538
597,544
598,383
599,547
600,470
601,449
602,484
603,547
604,404
605,514
606,450
607,474
608,491
609,512
610,548
611,539
612,477
613,551
614,553
615,545
616,555
617,545
618,563
619,558
620,450
621,761
622,243
623,294
624,366
625,369
626,336
627,318
628,376
629,349
630,360
631,382
632,246
633,247
634,173
635,348
636,337
637,342
638,378
639,367
640,372
641,268
642,321
643,327
644,372
645,243
646,332
647,364
648,203
649,381
650,389
651,327
652,380
653,374
654,336
655,362
656,355
657,382
658,343
659,359
660,386
661,378
662,366
663,321
664,345
665,361
666,352
667,364
668,357
669,364
670,385
671,380
672,362
673,559
