@relation InstanceResultListener

@attribute Key_Dataset {pacman-weka.filters.unsupervised.attribute.Remove-R32}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes,weka.classifiers.rules.PART,weka.classifiers.rules.OneR,weka.classifiers.lazy.IBk,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-U -M 2','','-B 6','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 9 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-217733168393644444,5995231201785697655,8121455039782598361,-3459427003147861443,-3080186098777067172,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 204\nSize of the tree: 407\n','Number of leaves: 201\nSize of the tree: 401\n','Number of leaves: 199\nSize of the tree: 397\n','Number of leaves: 197\nSize of the tree: 393\n','Number of leaves: 194\nSize of the tree: 387\n','Number of leaves: 207\nSize of the tree: 413\n','Number of leaves: 218\nSize of the tree: 435\n','Number of leaves: 206\nSize of the tree: 411\n','Number of leaves: 173\nSize of the tree: 345\n','Number of leaves: 226\nSize of the tree: 451\n','Number of leaves: 208\nSize of the tree: 415\n','Number of leaves: 209\nSize of the tree: 417\n','Number of leaves: 196\nSize of the tree: 391\n','Number of leaves: 192\nSize of the tree: 383\n','Number of leaves: 210\nSize of the tree: 419\n','Number of leaves: 172\nSize of the tree: 343\n','Number of leaves: 205\nSize of the tree: 409\n','Number of leaves: 188\nSize of the tree: 375\n','Number of leaves: 221\nSize of the tree: 441\n','Number of leaves: 212\nSize of the tree: 423\n','Number of leaves: 211\nSize of the tree: 421\n','Number of leaves: 202\nSize of the tree: 403\n','Number of leaves: 213\nSize of the tree: 425\n','Number of leaves: 215\nSize of the tree: 429\n','Number of leaves: 200\nSize of the tree: 399\n','Number of leaves: 190\nSize of the tree: 379\n','Number of leaves: 198\nSize of the tree: 395\n','Number of leaves: 216\nSize of the tree: 431\n','Number of leaves: 185\nSize of the tree: 369\n','Number of leaves: 195\nSize of the tree: 389\n','Number of leaves: 214\nSize of the tree: 427\n','Number of leaves: 187\nSize of the tree: 373\n','Number of leaves: 203\nSize of the tree: 405\n','Number of leaves: 220\nSize of the tree: 439\n','Number of leaves: 225\nSize of the tree: 449\n','Number of leaves: 191\nSize of the tree: 381\n','Number of leaves: 223\nSize of the tree: 445\n','Number of leaves: 183\nSize of the tree: 365\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 122\nSize of the tree: 243\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 111\nSize of the tree: 221\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 116\nSize of the tree: 231\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 114\nSize of the tree: 227\n','Number of leaves: 112\nSize of the tree: 223\n','Number of leaves: 117\nSize of the tree: 233\n','Number of leaves: 113\nSize of the tree: 225\n','Number of leaves: 110\nSize of the tree: 219\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 118\nSize of the tree: 235\n','Number of leaves: 132\nSize of the tree: 263\n','Number of leaves: 121\nSize of the tree: 241\n','Number of leaves: 115\nSize of the tree: 229\n','Number of leaves: 251\nSize of the tree: 501\n','Number of leaves: 257\nSize of the tree: 513\n','Number of leaves: 274\nSize of the tree: 547\n','Number of leaves: 247\nSize of the tree: 493\n','Number of leaves: 261\nSize of the tree: 521\n','Number of leaves: 252\nSize of the tree: 503\n','Number of leaves: 271\nSize of the tree: 541\n','Number of leaves: 266\nSize of the tree: 531\n','Number of leaves: 248\nSize of the tree: 495\n','Number of leaves: 253\nSize of the tree: 505\n','Number of leaves: 258\nSize of the tree: 515\n','Number of leaves: 281\nSize of the tree: 561\n','Number of leaves: 265\nSize of the tree: 529\n','Number of leaves: 250\nSize of the tree: 499\n','Number of leaves: 264\nSize of the tree: 527\n','Number of leaves: 246\nSize of the tree: 491\n','Number of leaves: 269\nSize of the tree: 537\n','Number of leaves: 259\nSize of the tree: 517\n','Number of leaves: 245\nSize of the tree: 489\n','Number of leaves: 262\nSize of the tree: 523\n','Number of leaves: 263\nSize of the tree: 525\n','Number of leaves: 270\nSize of the tree: 539\n','Number of leaves: 278\nSize of the tree: 555\n','Number of leaves: 283\nSize of the tree: 565\n','Number of leaves: 254\nSize of the tree: 507\n','Number of leaves: 268\nSize of the tree: 535\n','Number of leaves: 249\nSize of the tree: 497\n','Number of leaves: 255\nSize of the tree: 509\n','Number of leaves: 256\nSize of the tree: 511\n','Number of leaves: 267\nSize of the tree: 533\n','Number of leaves: 243\nSize of the tree: 485\n','Number of leaves: 275\nSize of the tree: 549\n','Number of leaves: 244\nSize of the tree: 487\n','Number of leaves: 260\nSize of the tree: 519\n','Number of leaves: 273\nSize of the tree: 545\n','Number of leaves: 272\nSize of the tree: 543\n','Number of leaves: 239\nSize of the tree: 477\n','Number of rules: 73\n','Number of rules: 67\n','Number of rules: 68\n','Number of rules: 72\n','Number of rules: 77\n','Number of rules: 79\n','Number of rules: 81\n','Number of rules: 71\n','Number of rules: 65\n','Number of rules: 78\n','Number of rules: 66\n','Number of rules: 69\n','Number of rules: 75\n','Number of rules: 83\n','Number of rules: 76\n','Number of rules: 74\n','Number of rules: 70\n','Number of rules: 82\n','Number of rules: 165\n','Number of rules: 186\n','Number of rules: 169\n','Number of rules: 174\n','Number of rules: 167\n','Number of rules: 178\n','Number of rules: 176\n','Number of rules: 149\n','Number of rules: 168\n','Number of rules: 164\n','Number of rules: 170\n','Number of rules: 151\n','Number of rules: 163\n','Number of rules: 187\n','Number of rules: 172\n','Number of rules: 171\n','Number of rules: 158\n','Number of rules: 166\n','Number of rules: 161\n','Number of rules: 184\n','Number of rules: 160\n','Number of rules: 162\n','Number of rules: 181\n','Number of rules: 192\n','Number of rules: 175\n','Number of rules: 182\n','Number of rules: 156\n','Number of rules: 177\n','Number of rules: 159\n','Number of rules: 179\n','Number of rules: 157\n','Number of rules: 152\n','Number of rules: 173\n','Number of rules: 180\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

pacman-weka.filters.unsupervised.attribute.Remove-R32,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,792,89,57,32,0,64.044944,35.955056,0,0.530111,0.147898,0.351157,48.383268,89.784452,193.186942,16169.647333,-15976.460391,2.17064,181.681431,-179.510791,111.11714,1.248507,57.517935,0.526316,10,0.1,7,0.9,63,0.473684,9,0.588235,0.526316,0.555556,0.444392,0.860902,0.51862,0.640449,0.112883,0.887117,0.359551,0.637673,0.640449,0.637613,0.526168,0.836702,0.620082,0.65626,0.640449,0.018,0,0.015625,0,15.625,0,50861,229347,28992,79.775281,28.314607,'Number of leaves: 95\nSize of the tree: 189\n',189,95,95,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,65,23,0,73.863636,26.136364,0,0.659144,0.117073,0.303864,38.391499,77.90339,188.964228,18278.086494,-18089.122266,2.147321,207.705528,-205.558208,130.328365,1.481004,68.969861,0.684211,13,0.086957,6,0.913043,63,0.315789,6,0.684211,0.684211,0.684211,0.597254,0.82685,0.600175,0.738636,0.08089,0.91911,0.261364,0.73573,0.738636,0.733651,0.652119,0.849674,0.654541,0.760279,0.738636,0.022,0,0.015625,0,15.625,0,51829,229632,28707,80.681818,28.409091,'Number of leaves: 97\nSize of the tree: 193\n',193,97,97,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,61,27,0,69.318182,30.681818,0,0.60181,0.124928,0.326826,40.967634,83.790494,188.964228,19359.799397,-19170.835168,2.147321,219.99772,-217.8504,123.253765,1.400611,65.225978,0.684211,13,0.086957,6,0.913043,63,0.315789,6,0.684211,0.684211,0.684211,0.597254,0.859268,0.621306,0.693182,0.089222,0.910778,0.306818,0.707386,0.693182,0.69399,0.603219,0.84122,0.650681,0.721131,0.693182,0.019,0,0.015625,0,15.625,0,45053,229632,28707,78.409091,27.5,'Number of leaves: 83\nSize of the tree: 165\n',165,83,83,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,69,19,0,78.409091,21.590909,0,0.717663,0.100908,0.276124,33.090573,70.791513,188.964228,12914.194651,-12725.230423,2.147321,146.752212,-144.604891,137.227234,1.5594,72.620747,0.894737,17,0.130435,9,0.869565,60,0.105263,2,0.653846,0.894737,0.755556,0.689261,0.902365,0.63549,0.784091,0.065723,0.934277,0.215909,0.800235,0.784091,0.784646,0.722092,0.883192,0.736483,0.797926,0.784091,0.018,0,0.015625,0,15.625,0,47957,229632,28707,86.363636,29.545455,'Number of leaves: 89\nSize of the tree: 177\n',177,89,89,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,63,25,0,71.590909,28.409091,0,0.625596,0.120234,0.304133,39.428076,77.97249,188.964228,14001.730638,-13812.766409,2.147321,159.110575,-156.963255,126.549056,1.438057,66.969848,0.526316,10,0.043478,3,0.956522,66,0.473684,9,0.769231,0.526316,0.625,0.559887,0.759725,0.57546,0.715909,0.098042,0.901958,0.284091,0.720748,0.715909,0.712133,0.620616,0.858941,0.706942,0.759869,0.715909,0.018,0,0.015625,0,15.625,0,47473,229632,28707,84.090909,32.5,'Number of leaves: 88\nSize of the tree: 175\n',175,88,88,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,62,26,0,70.454545,29.545455,0,0.609556,0.133799,0.334526,43.739143,85.462837,191.40365,20440.189873,-20248.786223,2.175041,232.274885,-230.099843,119.01923,1.352491,62.18232,0.578947,11,0.086957,6,0.913043,63,0.421053,8,0.647059,0.578947,0.611111,0.512749,0.756674,0.477233,0.704545,0.101447,0.898553,0.295455,0.709609,0.704545,0.697187,0.610778,0.806251,0.597325,0.72682,0.704545,0.02,0,0.015625,0,15.625,0,47957,229632,28707,75,28.636364,'Number of leaves: 89\nSize of the tree: 177\n',177,89,89,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,71,17,0,80.681818,19.318182,0,0.746527,0.094237,0.258056,30.806419,65.926736,191.40365,10767.335496,-10575.931846,2.175041,122.356085,-120.181044,143.016534,1.625188,74.719857,0.736842,14,0.043478,3,0.956522,66,0.263158,5,0.823529,0.736842,0.777778,0.722618,0.84058,0.720989,0.806818,0.064755,0.935245,0.193182,0.806984,0.806818,0.80505,0.744889,0.90144,0.782462,0.827951,0.806818,0.02,0,0.015625,0,15.625,0,48441,229632,28707,88.636364,31.818182,'Number of leaves: 90\nSize of the tree: 179\n',179,90,90,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,73,15,0,82.954545,17.045455,0,0.777703,0.078154,0.22941,25.548676,58.608415,191.40365,5401.745433,-5210.341782,2.175041,61.383471,-59.208429,151.646616,1.723257,79.228696,1,19,0.086957,6,0.913043,63,0,0,0.76,1,0.863636,0.833014,0.996186,0.983495,0.829545,0.056193,0.943807,0.170455,0.83687,0.829545,0.827048,0.775557,0.943867,0.864302,0.855548,0.829545,0.018,0,0.03125,0,31.25,0,51345,229632,28707,93.181818,29.090909,'Number of leaves: 96\nSize of the tree: 191\n',191,96,96,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,67,21,0,76.136364,23.863636,0,0.688994,0.104084,0.282471,34.071572,72.274632,190.717213,11845.524539,-11654.807326,2.167241,134.608233,-132.440992,136.493279,1.55106,71.568411,0.894737,17,0.101449,7,0.898551,62,0.105263,2,0.708333,0.894737,0.790698,0.732886,0.926392,0.733092,0.761364,0.073238,0.926762,0.238636,0.766797,0.761364,0.760479,0.68763,0.899132,0.782718,0.789902,0.761364,0.019,0,0.015625,0,15.625,0,50377,229632,28707,87.5,29.772727,'Number of leaves: 94\nSize of the tree: 187\n',187,94,94,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,61,27,0,69.318182,30.681818,0,0.600202,0.133345,0.328357,43.660943,84.038124,190.62362,17220.413248,-17029.789628,2.166177,195.686514,-193.520337,121.061284,1.375696,63.508019,0.842105,16,0.072464,5,0.927536,64,0.157895,3,0.761905,0.842105,0.8,0.742921,0.935164,0.780516,0.693182,0.096174,0.903826,0.306818,0.690359,0.693182,0.690492,0.592604,0.834335,0.638577,0.719253,0.693182,0.019,0,0.015625,0,15.625,0,52313,229632,28707,81.818182,31.590909,'Number of leaves: 98\nSize of the tree: 195\n',195,98,98,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,792,89,66,23,0,74.157303,25.842697,0,0.660756,0.111563,0.294319,36.48788,75.231674,193.280535,15063.629943,-14870.349408,2.171691,169.254269,-167.082578,133.63316,1.501496,69.139482,0.789474,15,0.114286,8,0.885714,62,0.210526,4,0.652174,0.789474,0.714286,0.631996,0.892105,0.601196,0.741573,0.086011,0.913989,0.258427,0.750715,0.741573,0.739206,0.660872,0.867546,0.705756,0.771801,0.741573,0.02,0.001,0.03125,0,31.25,0,47473,229347,28992,84.269663,30.337079,'Number of leaves: 88\nSize of the tree: 175\n',175,88,88,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,70,18,0,79.545455,20.454545,0,0.729969,0.093903,0.274071,30.793588,70.26516,188.964228,13983.691521,-13794.727293,2.147321,158.905585,-156.758265,139.411398,1.58422,73.776608,0.789474,15,0.072464,5,0.927536,64,0.210526,4,0.75,0.789474,0.769231,0.703975,0.839817,0.663104,0.795455,0.067784,0.932216,0.204545,0.79415,0.795455,0.793092,0.728995,0.877717,0.727077,0.816483,0.795455,0.019,0,0.015625,0,15.625,0,52797,229632,28707,85.227273,27.727273,'Number of leaves: 99\nSize of the tree: 197\n',197,99,99,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,66,22,0,75,25,0,0.671864,0.119878,0.2996,39.311609,76.810314,188.964228,10792.453252,-10603.489023,2.147321,122.641514,-120.494193,126.979425,1.442948,67.197599,0.789474,15,0.144928,10,0.855072,59,0.210526,4,0.6,0.789474,0.681818,0.588051,0.864226,0.551699,0.75,0.077242,0.922758,0.25,0.763413,0.75,0.750486,0.677628,0.868068,0.681172,0.77981,0.75,0.019,0,0.015625,0,15.625,0,49409,229632,28707,85.227273,35.227273,'Number of leaves: 92\nSize of the tree: 183\n',183,92,92,?
pacman-weka.filters.unsupervised.attribute.Remove-R32,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220321.2251,793,88,59,29,0,67.045455,32.954545,0,0.570587,0.143828,0.336623,47.165257,86.302137,188.964228,12950.046758,-12761.08253,2.147321,147.159622,-145.012301,113.52182,1.290021,60.075825,0.578947,11,0.043478,3,0.956522,66,0.421053,8,0.785714,0.578947,0.666667,0.60236,0.84897,0.651039,0.670455,0.101868,0.898132,0.329545,0.680903,0.670455,0.669162,0.567796,0.847291,0.658913,0.689902,0.670455,0.019,0,0.03125,0,31.25,0,43117,229632,28707,86.363636,35,'Number of leaves: 79\nSize of the tree: 157\n',157,79,79,?
