@relation InstanceResultListener

@attribute Key_Dataset {pacman,pacman-weka.filters.unsupervised.attribute.Remove-R7-14-weka.filters.unsupervised.attribute.Remove-R3-6,pacman-weka.filters.unsupervised.attribute.Remove-R15-22,pacman-weka.filters.unsupervised.attribute.Remove-R3-14}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes,weka.classifiers.rules.PART,weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-C 0.25 -M 2','','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 50 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,48055541465867954,5995231201785697655,8121455039782598361,-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 115\nSize of the tree: 229\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 112\nSize of the tree: 223\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 119\nSize of the tree: 237\n','Number of leaves: 110\nSize of the tree: 219\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 114\nSize of the tree: 227\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 120\nSize of the tree: 239\n','Number of leaves: 117\nSize of the tree: 233\n','Number of leaves: 128\nSize of the tree: 255\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 113\nSize of the tree: 225\n','Number of leaves: 123\nSize of the tree: 245\n','Number of leaves: 116\nSize of the tree: 231\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 126\nSize of the tree: 251\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 139\nSize of the tree: 277\n','Number of leaves: 125\nSize of the tree: 249\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 111\nSize of the tree: 221\n','Number of leaves: 124\nSize of the tree: 247\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 122\nSize of the tree: 243\n','Number of leaves: 129\nSize of the tree: 257\n','Number of leaves: 118\nSize of the tree: 235\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 102\nSize of the tree: 203\n','Number of rules: 123\n','Number of rules: 114\n','Number of rules: 103\n','Number of rules: 116\n','Number of rules: 115\n','Number of rules: 110\n','Number of rules: 119\n','Number of rules: 113\n','Number of rules: 122\n','Number of rules: 102\n','Number of rules: 107\n','Number of rules: 100\n','Number of rules: 124\n','Number of rules: 112\n','Number of rules: 126\n','Number of rules: 96\n','Number of rules: 109\n','Number of rules: 105\n','Number of rules: 118\n','Number of rules: 106\n','Number of rules: 134\n','Number of rules: 111\n','Number of rules: 121\n','Number of rules: 108\n','Number of rules: 120\n','Number of rules: 104\n','Number of rules: 117\n','Number of leaves: 142\nSize of the tree: 283\n','Number of leaves: 133\nSize of the tree: 265\n','Number of leaves: 147\nSize of the tree: 293\n','Number of leaves: 132\nSize of the tree: 263\n','Number of leaves: 121\nSize of the tree: 241\n','Number of leaves: 134\nSize of the tree: 267\n','Number of leaves: 127\nSize of the tree: 253\n','Number of leaves: 136\nSize of the tree: 271\n','Number of leaves: 138\nSize of the tree: 275\n','Number of leaves: 130\nSize of the tree: 259\n','Number of leaves: 135\nSize of the tree: 269\n','Number of leaves: 131\nSize of the tree: 261\n','Number of leaves: 140\nSize of the tree: 279\n','Number of leaves: 143\nSize of the tree: 285\n','Number of rules: 136\n','Number of rules: 143\n','Number of rules: 138\n','Number of rules: 129\n','Number of rules: 137\n','Number of rules: 133\n','Number of rules: 146\n','Number of rules: 132\n','Number of rules: 139\n','Number of rules: 135\n','Number of rules: 125\n','Number of rules: 148\n','Number of rules: 128\n','Number of rules: 151\n','Number of rules: 142\n','Number of rules: 127\n','Number of rules: 140\n','Number of rules: 141\n','Number of rules: 144\n','Number of rules: 130\n','Number of rules: 131\n','Number of rules: 150\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 74\nSize of the tree: 147\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 76\nSize of the tree: 151\n','Number of rules: 95\n','Number of rules: 97\n','Number of rules: 99\n','Number of rules: 101\n','Number of rules: 90\n','Number of rules: 91\n','Number of rules: 85\n','Number of rules: 86\n','Number of rules: 83\n','Number of rules: 92\n','Number of rules: 98\n','Number of rules: 94\n','Number of rules: 88\n','Number of rules: 89\n','Number of rules: 93\n','Number of rules: 82\n','Number of rules: 87\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 137\nSize of the tree: 273\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 65\nSize of the tree: 129\n','Number of rules: 84\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,82,29,0,73.873874,26.126126,0,0.629745,0.123672,0.283514,42.488608,74.369563,230.756502,6524.39343,-6293.636928,2.078887,58.778319,-56.699432,143.689535,1.2945,62.2689,0.357143,5,0.041237,4,0.958763,93,0.642857,9,0.555556,0.357143,0.434783,0.384225,0.808174,0.447642,0.738739,0.109063,0.890937,0.261261,0.723506,0.738739,0.724635,0.640699,0.89819,0.739558,0.702618,0.738739,0.076,0.002,0.08,0,80,0,50707,215776,26632,93.693694,39.81982,'Number of leaves: 96\nSize of the tree: 191\n',191,96,96
pacman,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,68,43,0,61.261261,38.738739,0,0.477218,0.166758,0.343801,57.291534,90.183809,230.756502,20480.8638,-20250.107298,2.078887,184.512286,-182.433399,120.268502,1.0835,52.119226,0.571429,8,0.072165,7,0.927835,90,0.428571,6,0.533333,0.571429,0.551724,0.48484,0.805965,0.511983,0.612613,0.133627,0.866373,0.387387,0.629733,0.612613,0.618667,0.476727,0.81397,0.649286,0.642847,0.612613,0.054,0.001,0.06,0,60,0,59903,215776,26632,82.882883,40.540541,'Number of leaves: 115\nSize of the tree: 229\n',229,115,115
pacman,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,67,44,0,60.36036,39.63964,0,0.449814,0.177305,0.345288,60.779992,90.348419,231.699688,15135.139282,-14903.439595,2.087385,136.352606,-134.265222,111.169767,1.001529,47.980111,0.214286,3,0.041237,4,0.958763,93,0.785714,11,0.428571,0.214286,0.285714,0.236348,0.70729,0.306042,0.603604,0.157555,0.842445,0.396396,0.595721,0.603604,0.594002,0.447204,0.805001,0.610816,0.595548,0.603604,0.037,0.001,0.04,0,40,0,46835,215776,26632,87.387387,43.783784,'Number of leaves: 88\nSize of the tree: 175\n',175,88,88
pacman,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,73,38,0,65.765766,34.234234,0,0.528188,0.156289,0.339034,53.575773,88.711963,231.699688,15127.150672,-14895.450984,2.087385,136.280637,-134.193252,124.944053,1.125622,53.924998,0.214286,3,0.041237,4,0.958763,93,0.785714,11,0.428571,0.214286,0.285714,0.236348,0.779823,0.345414,0.657658,0.123934,0.876066,0.342342,0.65238,0.657658,0.647764,0.531978,0.817422,0.595403,0.635127,0.657658,0.034,0.001,0.03,0,30,0,58451,215776,26632,84.684685,39.279279,'Number of leaves: 112\nSize of the tree: 223\n',223,112,112
pacman,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,69,42,0,62.162162,37.837838,0,0.474467,0.15927,0.342814,54.633161,89.76686,230.838358,16196.234664,-15965.396306,2.079625,145.912024,-143.832399,120.490498,1.0855,52.196913,0.4,6,0.072917,7,0.927083,89,0.6,9,0.461538,0.4,0.428571,0.34774,0.81875,0.401332,0.621622,0.15349,0.84651,0.378378,0.618446,0.621622,0.613396,0.47152,0.818891,0.605247,0.628197,0.621622,0.032,0.001,0.03,0,30,0,56515,215776,26632,84.684685,36.576577,'Number of leaves: 108\nSize of the tree: 215\n',215,108,108
pacman,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,78,33,0,70.27027,29.72973,0,0.590543,0.136385,0.309187,46.843232,81.078094,231.013587,11897.137619,-11666.124031,2.081203,107.18142,-105.100216,139.57879,1.257467,60.420165,0.533333,8,0.09375,9,0.90625,87,0.466667,7,0.470588,0.533333,0.5,0.417286,0.817708,0.480128,0.702703,0.116748,0.883252,0.297297,0.706202,0.702703,0.703781,0.588549,0.860937,0.705141,0.711922,0.702703,0.029,0.001,0.03,0,30,0,61839,215776,26632,86.486486,37.117117,'Number of leaves: 119\nSize of the tree: 237\n',237,119,119
pacman,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,65,46,0,58.558559,41.441441,0,0.407588,0.17117,0.357323,58.790351,93.700935,231.013587,15142.340426,-14911.326838,2.081203,136.417481,-134.336278,109.389579,0.985492,47.352011,0.2,3,0.052083,5,0.947917,91,0.8,12,0.375,0.2,0.26087,0.19554,0.691319,0.259198,0.585586,0.19125,0.80875,0.414414,0.565146,0.585586,0.566551,0.40522,0.797454,0.578853,0.567173,0.585586,0.026,0,0.02,0,20,0,57483,215776,26632,85.585586,40,'Number of leaves: 110\nSize of the tree: 219\n',219,110,110
pacman,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,80,31,0,72.072072,27.927928,0,0.617156,0.135622,0.299652,46.581072,78.577812,231.013587,11889.792964,-11658.779376,2.081203,107.115252,-105.034048,142.390121,1.282794,61.63712,0.6,9,0.072917,7,0.927083,89,0.4,6,0.5625,0.6,0.580645,0.513025,0.808681,0.464172,0.720721,0.103959,0.896041,0.279279,0.724662,0.720721,0.720806,0.616782,0.861185,0.710486,0.730578,0.720721,0.029,0,0.02,0,20,0,54579,215776,26632,88.288288,40,'Number of leaves: 104\nSize of the tree: 207\n',207,104,104
pacman,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,68,43,0,61.261261,38.738739,0,0.452324,0.174036,0.354477,59.774938,92.954694,231.013587,21562.513432,-21331.499845,2.081203,194.256878,-192.175674,111.010267,1.000092,48.053566,0.2,3,0.072917,7,0.927083,89,0.8,12,0.3,0.2,0.24,0.151743,0.636458,0.23036,0.612613,0.173527,0.826473,0.387387,0.595272,0.612613,0.60032,0.445548,0.775871,0.571651,0.607793,0.612613,0.027,0.001,0.02,0,20,0,59903,215776,26632,79.279279,38.378378,'Number of leaves: 115\nSize of the tree: 229\n',229,115,115
pacman,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,69,42,0,62.162162,37.837838,0,0.470227,0.165326,0.349526,56.783213,91.656211,231.013587,18342.416289,-18111.402701,2.081203,165.246994,-163.16579,114.457195,1.031146,49.545655,0.4,6,0.072917,7,0.927083,89,0.6,9,0.461538,0.4,0.428571,0.34774,0.658681,0.272817,0.621622,0.152658,0.847342,0.378378,0.61529,0.621622,0.612128,0.4767,0.805417,0.609068,0.612696,0.621622,0.025,0.001,0.02,0,20,0,55547,215776,26632,83.783784,38.918919,'Number of leaves: 106\nSize of the tree: 211\n',211,106,106
pacman,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,68,43,0,61.261261,38.738739,0,0.455324,0.174358,0.354795,59.941771,93.136186,229.895172,22628.008572,-22398.113399,2.071128,203.855933,-201.784805,109.518219,0.986651,47.638329,0.466667,7,0.041667,4,0.958333,92,0.533333,8,0.636364,0.466667,0.538462,0.486266,0.770833,0.381757,0.612613,0.157842,0.842158,0.387387,0.604351,0.612613,0.604751,0.461117,0.778596,0.567131,0.613805,0.612613,0.026,0,0.03,0,30,0,53127,215776,26632,81.081081,40.540541,'Number of leaves: 101\nSize of the tree: 201\n',201,101,101
pacman,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,66,45,0,59.459459,40.540541,0,0.446905,0.172397,0.361375,59.228741,94.793789,230.756502,19427.49353,-19196.737028,2.078887,175.022464,-172.943577,113.317384,1.020877,49.106908,0.357143,5,0.061856,6,0.938144,91,0.642857,9,0.454545,0.357143,0.4,0.328094,0.765096,0.384539,0.594595,0.144232,0.855768,0.405405,0.612956,0.594595,0.599514,0.453264,0.794122,0.588957,0.613411,0.594595,0.023,0.001,0.02,0,20,0,53127,215776,26632,80.18018,36.216216,'Number of leaves: 101\nSize of the tree: 201\n',201,101,101
pacman,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220303.2117,999,111,74,37,0,66.666667,33.333333,0,0.525805,0.154843,0.337825,53.233469,88.682882,230.288502,19405.652117,-19175.363615,2.074671,174.825695,-172.751024,123.697976,1.114396,53.714352,0.357143,5,0.082474,8,0.917526,89,0.642857,9,0.384615,0.357143,0.37037,0.283579,0.752946,0.269652,0.666667,0.157347,0.842653,0.333333,0.666416,0.666667,0.658439,0.528056,0.803922,0.618427,0.659705,0.666667,0.027,0,0.03,0,30,0,57483,215776,26632,80.18018,34.234234,'Number of leaves: 110\nSize of the tree: 219\n',219,110,110
