@relation InstanceResultListener

@attribute Key_Dataset {pacman,pacman-weka.filters.supervised.instance.ClassBalancer-num-intervals10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 34\nSize of the tree: 67\n','Number of rules: 75\n','Number of rules: 92\n','Number of rules: 81\n','Number of rules: 90\n','Number of rules: 87\n','Number of rules: 88\n','Number of rules: 78\n','Number of rules: 77\n','Number of rules: 83\n','Number of rules: 91\n','Number of rules: 106\n','Number of rules: 98\n','Number of rules: 112\n','Number of rules: 99\n','Number of rules: 89\n','Number of rules: 80\n','Number of rules: 95\n','Number of rules: 74\n','Number of rules: 82\n','Number of rules: 84\n','Number of rules: 102\n','Number of rules: 79\n','Number of rules: 70\n','Number of rules: 96\n','Number of rules: 85\n','Number of rules: 94\n','Number of rules: 86\n','Number of rules: 104\n','Number of rules: 101\n','Number of rules: 67\n','Number of rules: 76\n','Number of rules: 97\n','Number of rules: 100\n','Number of rules: 42\n','Number of rules: 55\n','Number of rules: 57\n','Number of rules: 52\n','Number of rules: 44\n','Number of rules: 56\n','Number of rules: 41\n','Number of rules: 54\n','Number of rules: 43\n','Number of rules: 48\n','Number of rules: 53\n','Number of rules: 46\n','Number of rules: 61\n','Number of rules: 59\n','Number of rules: 50\n','Number of rules: 45\n','Number of rules: 47\n','Number of rules: 51\n','Number of rules: 60\n','Number of rules: 49\n','Number of rules: 58\n','Number of rules: 62\n','Number of rules: 65\n','Number of rules: 40\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,711,80,44,36,0,55,45,0,0.394958,0.209825,0.377791,70.537725,97.951722,164.864162,12975.711041,-12810.84688,2.060802,162.196388,-160.135586,67.799912,0.847499,41.124712,0.521739,12,0.192982,11,0.807018,46,0.478261,11,0.521739,0.521739,0.521739,0.328757,0.745995,0.590076,0.55,0.162987,0.837013,0.45,0.55,0.55,0.55,0.387013,0.716693,0.49407,0.630702,0.55,0.068,0.002,0.07,0,70,0,40543,154432,20029,83.75,48,'Number of leaves: 75\nSize of the tree: 149\n',149,75,75
pacman,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,712,79,52,27,0,65.822785,34.177215,0,0.545009,0.178648,0.343308,60.074274,89.040456,162.787087,16160.112776,-15997.325689,2.060596,204.55839,-202.497794,82.780429,1.047854,50.851963,0.695652,16,0.071429,4,0.928571,52,0.304348,7,0.8,0.695652,0.744186,0.652164,0.810171,0.636049,0.658228,0.111018,0.888982,0.341772,0.679415,0.658228,0.663316,0.551315,0.764505,0.564042,0.715297,0.658228,0.034,0.001,0.03,0,30,0,45383,154645,19816,81.012658,44.556962,'Number of leaves: 85\nSize of the tree: 169\n',169,85,85
pacman,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,712,79,46,33,0,58.227848,41.772152,0,0.443187,0.183222,0.359443,61.612418,93.225459,162.787087,14026.214472,-13863.427385,2.060596,177.547019,-175.486423,77.77305,0.984469,47.775933,0.478261,11,0.107143,6,0.892857,50,0.521739,12,0.647059,0.478261,0.55,0.410251,0.723214,0.524705,0.582278,0.139357,0.860643,0.417722,0.594421,0.582278,0.582911,0.443922,0.77602,0.555965,0.648,0.582278,0.046,0.001,0.04,0,40,0,47803,154645,19816,83.544304,41.265823,'Number of leaves: 90\nSize of the tree: 179\n',179,90,90
pacman,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,712,79,44,35,0,55.696203,44.303797,0,0.402162,0.190052,0.364007,63.938097,94.457238,162.643367,9746.796241,-9584.152874,2.058777,123.377168,-121.318391,74.735273,0.946016,45.950397,0.772727,17,0.192982,11,0.807018,46,0.227273,5,0.607143,0.772727,0.68,0.543277,0.833732,0.625522,0.556962,0.158007,0.841993,0.443038,0.550035,0.556962,0.549582,0.397017,0.788756,0.563045,0.612431,0.556962,0.018,0,0.02,0,20,0,48287,154645,19816,88.607595,43.797468,'Number of leaves: 91\nSize of the tree: 181\n',181,91,91
pacman,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,712,79,53,26,0,67.088608,32.911392,0,0.558469,0.159922,0.322123,53.737655,83.477039,163.056635,9727.299861,-9564.243225,2.064008,123.130378,-121.06637,93.362044,1.181798,57.257433,0.636364,14,0.070175,4,0.929825,53,0.363636,8,0.777778,0.636364,0.7,0.605074,0.80622,0.741665,0.670886,0.120364,0.879636,0.329114,0.680038,0.670886,0.672596,0.553902,0.827983,0.69593,0.737774,0.670886,0.022,0,0.02,0,20,0,50223,154645,19816,86.075949,42.531646,'Number of leaves: 95\nSize of the tree: 189\n',189,95,95
pacman,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,712,79,46,33,0,58.227848,41.772152,0,0.435714,0.191353,0.363267,64.299268,94.139319,163.056635,11891.060589,-11728.003954,2.064008,150.519754,-148.455746,75.491742,0.955592,46.297866,0.681818,15,0.157895,9,0.842105,48,0.318182,7,0.625,0.681818,0.652174,0.510657,0.80941,0.605893,0.582278,0.156513,0.843487,0.417722,0.577866,0.582278,0.578535,0.426479,0.758861,0.519455,0.659153,0.582278,0.015,0.004,0.01,0,10,0,45383,154645,19816,83.544304,45.822785,'Number of leaves: 85\nSize of the tree: 169\n',169,85,85
pacman,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,712,79,43,36,0,54.43038,45.56962,0,0.390223,0.205739,0.395706,69.133509,102.545715,163.056635,24747.290363,-24584.233728,2.064008,313.25684,-311.192832,70.284784,0.889681,43.104523,0.590909,13,0.157895,9,0.842105,48,0.409091,9,0.590909,0.590909,0.590909,0.433014,0.723684,0.470082,0.544304,0.157209,0.842791,0.455696,0.554661,0.544304,0.548206,0.38989,0.689066,0.448456,0.62447,0.544304,0.018,0,0.02,0,20,0,50223,154645,19816,70.886076,41.012658,'Number of leaves: 95\nSize of the tree: 189\n',189,95,95
pacman,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,712,79,48,31,0,60.759494,39.240506,0,0.484963,0.186487,0.353732,62.805688,91.901164,161.991358,11887.714746,-11725.723388,2.050524,150.477402,-148.426878,80.49486,1.018922,49.690836,0.521739,12,0.125,7,0.875,49,0.478261,11,0.631579,0.521739,0.571429,0.421707,0.715839,0.552093,0.607595,0.122289,0.877711,0.392405,0.629247,0.607595,0.603697,0.479707,0.764779,0.556771,0.682054,0.607595,0.015,0,0.01,0,10,0,46835,154645,19816,83.544304,42.78481,'Number of leaves: 88\nSize of the tree: 175\n',175,88,88
pacman,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,712,79,43,36,0,54.43038,45.56962,0,0.393345,0.199683,0.366344,67.250015,95.178017,161.991358,11895.661146,-11733.669789,2.050524,150.577989,-148.527466,71.662513,0.90712,44.238479,0.608696,14,0.267857,15,0.732143,41,0.391304,9,0.482759,0.608696,0.538462,0.321235,0.685947,0.611243,0.544304,0.154351,0.845649,0.455696,0.573391,0.544304,0.545168,0.395817,0.745382,0.553021,0.627919,0.544304,0.014,0,0.01,0,10,0,41027,154645,19816,84.810127,47.848101,'Number of leaves: 76\nSize of the tree: 151\n',151,76,76
pacman,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,712,79,48,31,0,60.759494,39.240506,0,0.474464,0.181541,0.35182,61.140217,91.404644,161.991358,11882.678891,-11720.687533,2.050524,150.413657,-148.363133,77.900062,0.986077,48.089024,0.521739,12,0.053571,3,0.946429,53,0.478261,11,0.8,0.521739,0.631579,0.54228,0.794643,0.657853,0.607595,0.129282,0.870718,0.392405,0.636966,0.607595,0.611795,0.48738,0.77724,0.544756,0.660448,0.607595,0.014,0,0.01,0,10,0,51675,154645,19816,86.075949,45.56962,'Number of leaves: 98\nSize of the tree: 195\n',195,98,98
pacman,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220307.1054,711,80,48,32,0,60,40,0,0.463762,0.179669,0.360876,60.399977,93.566191,164.864162,14025.267107,-13860.402945,2.060802,175.315839,-173.255037,81.931101,1.024139,49.696126,0.608696,14,0.140351,8,0.859649,49,0.391304,9,0.636364,0.608696,0.622222,0.474725,0.827613,0.618918,0.6,0.142286,0.857714,0.4,0.603759,0.6,0.598937,0.458014,0.774328,0.55586,0.670299,0.6,0.012,0,0.02,0,20,0,52159,154432,20029,82.5,38.75,'Number of leaves: 99\nSize of the tree: 197\n',197,99,99
