@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S4.0-C23-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S4.0-C23-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-Llast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute pos_x numeric
@attribute pos_y numeric
@attribute ghost1_alive {0,1}
@attribute ghost2_alive {0,1}
@attribute ghost3_alive {0,1}
@attribute ghost4_alive {0,1}
@attribute ghost1_pos_x numeric
@attribute ghost1_pos_y numeric
@attribute ghost2_pos_x numeric
@attribute ghost2_pos_y numeric
@attribute ghost3_pos_x numeric
@attribute ghost3_pos_y numeric
@attribute ghost4_pos_x numeric
@attribute ghost4_pos_y numeric
@attribute distance_to_ghost1 numeric
@attribute distance_to_ghost2 numeric
@attribute distance_to_ghost3 numeric
@attribute distance_to_ghost4 numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute chosen_move {1,2,3,4}

@data
0.235294,0.875,1,1,1,1,0.428571,0.2,0.3,1,0.266667,1,0.769231,0.4,0.541667,0.363636,0.136364,0.73913,1,1,1,0,1
0.764706,0.5,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,1,0,0,0,0.26087,1,1,1,1,1
0.294118,0.875,1,0,1,1,0.214286,0.4,0.2,0,0.666667,1,0.846154,0.4,0.541667,0,0.363636,0.73913,1,1,0,1,1
0.235294,0.875,1,0,1,1,0.285714,0.4,0.2,0,0.666667,1,0.615385,0.2,0.541667,0,0.409091,0.73913,1,1,1,0,1
0.294118,1,1,0,1,1,0.142857,0.2,0.2,0,0.666667,1,0.615385,0.3,0.708333,0,0.318182,0.695652,0,1,1,1,1
0.529412,0.375,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,0.7,0,0,0,0.434783,1,1,0,1,1
0,1,1,1,1,1,0.357143,0.4,0.4,0.9,0.333333,1,0.692308,0.5,0.541667,0.636364,0.318182,0.869565,0,1,1,0,1
0.294118,1,1,0,1,1,0.5,0.3,0.2,0,0.4,1,0.692308,0.7,0.458333,0,0.136364,0.565217,0,1,1,1,1
0.235294,0.875,0,0,0,1,0,0,0.2,0,0.266667,0,0.692308,1,0,0,0,0.521739,1,1,1,0,1
0.764706,0.625,1,0,0,1,0.142857,0.3,0.2,0,0.266667,0,0.615385,0.8,0.708333,0,0,0.173913,1,1,1,1,1
