map,game,num_actions,time(s)
20Hunt,0,32,4.880376265999985
20Hunt,1,28,4.263831082000252
20Hunt,2,27,4.210236561000784
20Hunt,3,24,4.163963291000073
20Hunt,4,34,4.345096910000393
20Hunt,5,31,4.2631174450007165
20Hunt,6,36,4.4914449729994885
20Hunt,7,27,4.202104637999582
20Hunt,8,29,4.262342208000518
20Hunt,9,27,4.237613496999984
20Hunt,10,28,4.295617212000252
20Hunt,11,41,4.541475480999907
20Hunt,12,23,4.118121962999794
20Hunt,13,34,4.396589390999907
20Hunt,14,25,4.176773479999611
20Hunt,15,24,4.245695146000799
20Hunt,16,38,4.394366337000065
20Hunt,17,32,4.248205290999977
20Hunt,18,38,4.433312184999522
20Hunt,19,39,4.47830120099934
20Hunt,20,25,4.223815522999757
20Hunt,21,36,4.830035337000481
20Hunt,22,21,4.945840655999746
20Hunt,23,40,4.564448457000253
20Hunt,24,40,4.494308782000189
Average Score: 768.84
Scores:        768, 772, 773, 776, 766, 769, 764, 773, 771, 773, 772, 759, 777, 766, 775, 776, 762, 768, 762, 761, 775, 764, 779, 760, 760
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
