map,game,num_actions,time(s)
20Hunt,0,37,21.85930331199961
20Hunt,1,26,21.31401191799978
20Hunt,2,25,20.702053148999767
20Hunt,3,23,15.553386166000564
20Hunt,4,26,20.84552461200019
20Hunt,5,30,21.034683398000197
20Hunt,6,27,22.035568901999795
20Hunt,7,23,21.366569236999567
20Hunt,8,36,20.32925234999948
20Hunt,9,39,21.01402524199966
20Hunt,10,34,20.67678945100033
20Hunt,11,23,20.51477624400013
20Hunt,12,22,20.981517522000104
20Hunt,13,23,20.56624606600053
20Hunt,14,18,20.437434011999358
20Hunt,15,23,19.497818122000353
20Hunt,16,32,20.838743252000313
20Hunt,17,23,20.801406015000794
20Hunt,18,35,19.69224510300046
20Hunt,19,32,20.25882913699934
20Hunt,20,29,20.33660092700029
20Hunt,21,21,15.480766275999486
20Hunt,22,26,20.61219463299949
20Hunt,23,18,20.547192091999932
20Hunt,24,23,21.427476461999504
Average Score: 773.04
Scores:        763, 774, 775, 777, 774, 770, 773, 777, 764, 761, 766, 777, 778, 777, 782, 777, 768, 777, 765, 768, 771, 779, 774, 782, 777
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
