map,game,num_actions,time(s)
20Hunt,0,27,2.353271761000542
20Hunt,1,21,1.5800251439995918
20Hunt,2,26,1.648019335999379
20Hunt,3,24,1.6489260059997832
20Hunt,4,22,1.593700864999846
20Hunt,5,17,1.520820902000196
20Hunt,6,28,1.6977140129993131
20Hunt,7,25,1.6740157119993455
20Hunt,8,20,1.580043943000419
20Hunt,9,30,1.7502832810005202
20Hunt,10,19,1.5103980799995043
20Hunt,11,26,1.654130690000784
20Hunt,12,26,1.6561130689997299
20Hunt,13,30,1.739302344999487
20Hunt,14,28,1.7491111130002537
20Hunt,15,25,1.6769697999998243
20Hunt,16,31,1.7237920349998603
20Hunt,17,44,2.3246657849995245
20Hunt,18,26,1.7049816380003904
20Hunt,19,27,1.6341888530005235
20Hunt,20,22,1.6049965160000284
20Hunt,21,23,1.614662371999657
20Hunt,22,26,1.6622285229996123
20Hunt,23,32,1.7134393699998327
20Hunt,24,41,1.971243405999303
Average Score: 773.36
Scores:        773, 779, 774, 776, 778, 783, 772, 775, 780, 770, 781, 774, 774, 770, 772, 775, 769, 756, 774, 773, 778, 777, 774, 768, 759
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
