map,game,num_actions,time(s)
20Hunt,0,22,41.391644137000185
20Hunt,1,31,63.368531377998806
20Hunt,2,30,71.81807071299954
20Hunt,3,29,47.815988882000966
20Hunt,4,27,46.997340660998816
20Hunt,5,41,53.30266014800145
20Hunt,6,26,52.22334007799873
20Hunt,7,27,57.61124428199946
20Hunt,8,26,46.724584653999045
20Hunt,9,29,47.34093605900125
20Hunt,10,26,39.94875053100077
20Hunt,11,41,66.74503858199932
20Hunt,12,45,99.9438200609984
20Hunt,13,21,48.295184735001385
20Hunt,14,26,59.63969212899974
20Hunt,15,31,76.04658113400001
20Hunt,16,27,61.641107247000036
20Hunt,17,24,62.612037270000656
20Hunt,18,26,49.74026206400049
20Hunt,19,21,48.736091758999464
20Hunt,20,20,40.626804380000976
20Hunt,21,37,67.58442730500064
20Hunt,22,19,53.0065655340004
20Hunt,23,35,62.48809457100106
20Hunt,24,25,54.67403236499922
Average Score: 771.52
Scores:        778, 769, 770, 771, 773, 759, 774, 773, 774, 771, 774, 759, 755, 779, 774, 769, 773, 776, 774, 779, 780, 763, 781, 765, 775
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
