map,game,num_actions,time(s)
bigHunt,0,146,10.19060963999982
bigHunt,1,127,7.544452000000092
bigHunt,2,114,7.792353427999842
bigHunt,3,145,9.303356393000286
bigHunt,4,123,7.828423832999761
bigHunt,5,136,7.74982225399981
bigHunt,6,180,10.211662212999727
bigHunt,7,150,8.622785477000434
bigHunt,8,153,9.890614694999385
bigHunt,9,124,8.00452414999927
bigHunt,10,137,8.526174412999353
bigHunt,11,107,7.0297934469999745
bigHunt,12,160,9.121680592000303
bigHunt,13,118,7.52283441200052
bigHunt,14,144,8.470936351000091
bigHunt,15,139,8.213408876999893
bigHunt,16,125,7.836368777000644
bigHunt,17,151,9.52726470000016
bigHunt,18,133,8.057560812999327
bigHunt,19,127,7.096260523999263
bigHunt,20,146,8.620657173999462
bigHunt,21,147,7.8569031589995575
bigHunt,22,132,7.849056177000421
bigHunt,23,151,9.305537840999932
bigHunt,24,150,8.10883855100019
Average Score: 661.4
Scores:        654, 673, 686, 655, 677, 664, 620, 650, 647, 676, 663, 693, 640, 682, 656, 661, 675, 649, 667, 673, 654, 653, 668, 649, 650
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
