map,game,num_actions,time(s)
bigHunt,0,72,15.446090060000643
bigHunt,1,85,15.52106740399995
bigHunt,2,74,13.94791573800012
bigHunt,3,73,15.032798480000565
bigHunt,4,79,14.501234209999893
bigHunt,5,82,15.390313879000132
bigHunt,6,69,14.487578043000212
bigHunt,7,79,14.573558915999456
bigHunt,8,80,13.635941990999527
bigHunt,9,87,13.057274048999716
bigHunt,10,69,14.03691921600057
bigHunt,11,69,13.938046649999706
bigHunt,12,75,15.385166424999625
bigHunt,13,78,15.162736225999652
bigHunt,14,89,14.348002452999935
bigHunt,15,78,14.968912094000189
bigHunt,16,81,15.378332408999995
bigHunt,17,94,14.285615827000584
bigHunt,18,59,14.754575910000312
bigHunt,19,62,14.526262665000104
bigHunt,20,84,14.68879575399933
bigHunt,21,85,13.627739104999819
bigHunt,22,67,14.500378572000045
bigHunt,23,63,14.907480019999639
bigHunt,24,70,13.283282739000242
Average Score: 723.88
Scores:        728, 715, 726, 727, 721, 718, 731, 721, 720, 713, 731, 731, 725, 722, 711, 722, 719, 706, 741, 738, 716, 715, 733, 737, 730
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
