map,game,num_actions,time(s)
bigHunt,0,66,71.39456115400026
bigHunt,1,80,103.08618019700043
bigHunt,2,72,85.36988517600003
bigHunt,3,64,73.916961627001
bigHunt,4,68,88.56720599000073
bigHunt,5,62,64.4414442060006
bigHunt,6,101,102.74829883700113
bigHunt,7,74,81.64465103800103
bigHunt,8,88,86.85310186599963
bigHunt,9,76,83.9976296040004
bigHunt,10,84,96.65299808499913
bigHunt,11,68,89.71304250499998
bigHunt,12,59,57.43744843999957
bigHunt,13,75,72.01997604200005
bigHunt,14,63,73.31507064499965
bigHunt,15,68,74.08991838600014
bigHunt,16,67,73.22127162799916
bigHunt,17,73,90.7434647680002
bigHunt,18,76,99.5317292689997
bigHunt,19,60,71.71578638899882
bigHunt,20,74,72.81005405600081
bigHunt,21,77,99.68664939399969
bigHunt,22,72,72.4962948070006
bigHunt,23,71,62.62369635700088
bigHunt,24,67,64.55976068100063
Average Score: 727.8
Scores:        734, 720, 728, 736, 732, 738, 699, 726, 712, 724, 716, 732, 741, 725, 737, 732, 733, 727, 724, 740, 726, 723, 728, 729, 733
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
