map,game,num_actions,time(s)
classic,0,36,3.273230390000208
classic,1,41,2.92767541000012
classic,2,37,2.8994468719993165
classic,3,107,4.438252226000259
classic,4,36,2.9534726829997453
classic,5,89,4.434952296999654
classic,6,38,3.0192309320000277
classic,7,38,2.9051845720005076
classic,8,48,3.1304076470005384
classic,9,98,4.392413428999134
classic,10,34,2.817859110000427
classic,11,34,2.85324170199965
classic,12,33,2.7211310010006855
classic,13,34,2.9639473359993644
classic,14,51,3.2119411220000984
classic,15,43,3.031788919000064
classic,16,30,2.8237509499995213
classic,17,100,4.493312945999605
classic,18,31,2.7188006460000906
classic,19,93,4.177612602999943
classic,20,37,2.8714540949995353
classic,21,92,4.108269100000143
classic,22,32,2.8263335809997443
classic,23,38,2.9841939450006976
classic,24,81,3.9455623630001355
Average Score: 746.76
Scores:        764, 759, 763, 693, 764, 711, 762, 762, 752, 702, 766, 766, 767, 766, 749, 757, 770, 700, 769, 707, 763, 708, 768, 762, 719
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
