map,game,num_actions,time(s)
classic,0,33,5.292363270999886
classic,1,39,5.053808296999705
classic,2,50,5.063741068000127
classic,3,51,5.000270822000857
classic,4,38,4.90362101700066
classic,5,46,5.150038206999852
classic,6,35,4.547262015000342
classic,7,37,4.866263285000059
classic,8,38,4.664090419999411
classic,9,32,4.753509139999551
classic,10,35,4.821042888999727
classic,11,37,4.901436133999596
classic,12,48,5.063043576999917
classic,13,35,4.817663312999684
classic,14,35,4.877387214000009
classic,15,32,4.106595958000071
classic,16,39,4.893384340999546
classic,17,34,4.878290378000202
classic,18,31,4.743645386000026
classic,19,50,5.110139591999541
classic,20,45,4.971070683000107
classic,21,38,4.959304287000123
classic,22,33,4.728834100000313
classic,23,41,5.19934257100067
classic,24,40,4.99127892999968
Average Score: 761.12
Scores:        767, 761, 750, 749, 762, 754, 765, 763, 762, 768, 765, 763, 752, 765, 765, 768, 761, 766, 769, 750, 755, 762, 767, 759, 760
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
