map,game,num_actions,time(s)
classic,0,31,2.675274733000151
classic,1,32,2.19667542300067
classic,2,35,2.3366934040004708
classic,3,32,2.1651610509998136
classic,4,34,2.301699910000025
classic,5,37,2.400399381999705
classic,6,35,2.232006571999591
classic,7,36,2.2541830210002445
classic,8,54,2.577432521999981
classic,9,37,2.316764097000487
classic,10,38,2.2725815929998134
classic,11,36,2.2548599849997117
classic,12,32,2.2274906849997933
classic,13,38,2.3331324360005965
classic,14,32,2.2927877760002957
classic,15,47,2.5012814030005757
classic,16,42,2.4566812840002967
classic,17,36,2.313271275000261
classic,18,40,2.305566674000147
classic,19,33,2.2742133319998175
classic,20,46,2.48476490900066
classic,21,40,2.4016664430000674
classic,22,34,2.223659835000035
classic,23,50,2.5541369190004843
classic,24,45,2.4719941679995827
Average Score: 761.92
Scores:        769, 768, 765, 768, 766, 763, 765, 764, 746, 763, 762, 764, 768, 762, 768, 753, 758, 764, 760, 767, 754, 760, 766, 750, 755
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
