map,game,num_actions,time(s)
classic,0,42,9.735665877000429
classic,1,37,12.381105649999881
classic,2,35,10.5453424490006
classic,3,37,11.605609571000969
classic,4,32,11.17485564100025
classic,5,34,10.121410353000101
classic,6,37,12.339604236000014
classic,7,41,12.099974120001207
classic,8,48,13.987297749999925
classic,9,43,13.797280643000704
classic,10,36,12.060557431999769
classic,11,34,10.353135382998516
classic,12,37,9.053464994998649
classic,13,34,10.750670166000418
classic,14,49,14.840766859999349
classic,15,37,13.014193840001099
classic,16,38,13.33066803300062
classic,17,39,11.858676837999155
classic,18,38,11.977530490999925
classic,19,44,15.061120246999053
classic,20,37,11.35251196399986
classic,21,64,23.003592951001337
classic,22,32,10.97440735300006
classic,23,33,11.679962561000139
classic,24,35,10.253359043001183
Average Score: 761.08
Scores:        758, 763, 765, 763, 768, 766, 763, 759, 752, 757, 764, 766, 763, 766, 751, 763, 762, 761, 762, 756, 763, 736, 768, 767, 765
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
