map,game,num_actions,time(s)
oneHunt,0,39,3.742339522000293
oneHunt,1,51,3.6417343519997303
oneHunt,2,49,3.5675874309999926
oneHunt,3,60,3.8227398150002045
oneHunt,4,47,3.5783744699992894
oneHunt,5,29,3.313761832000637
oneHunt,6,41,3.4285418239996943
oneHunt,7,82,4.1886502959996506
oneHunt,8,41,3.65665941700081
oneHunt,9,38,3.404152824999983
oneHunt,10,55,3.8516220130004513
oneHunt,11,46,3.547549132000313
oneHunt,12,44,3.641072740999334
oneHunt,13,42,3.519702716000211
oneHunt,14,45,3.5605735429999186
oneHunt,15,50,3.573008125999877
oneHunt,16,37,3.347703571999773
oneHunt,17,62,4.05876732500019
oneHunt,18,67,4.011822100000245
oneHunt,19,60,3.7337553540000954
oneHunt,20,46,3.584592359999988
oneHunt,21,60,3.787331235000238
oneHunt,22,34,3.291791464999733
oneHunt,23,51,3.6250444460001745
oneHunt,24,42,3.470784983000158
Average Score: 751.28
Scores:        761, 749, 751, 740, 753, 771, 759, 718, 759, 762, 745, 754, 756, 758, 755, 750, 763, 738, 733, 740, 754, 740, 766, 749, 758
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
