map,game,num_actions,time(s)
oneHunt,0,38,8.864974633999736
oneHunt,1,27,8.406100688999686
oneHunt,2,52,8.889717545000167
oneHunt,3,49,8.833238847999382
oneHunt,4,34,8.665054011999928
oneHunt,5,25,8.51792981500057
oneHunt,6,34,8.811665799000366
oneHunt,7,26,8.622628205000183
oneHunt,8,28,8.611237465999693
oneHunt,9,41,8.789169527000013
oneHunt,10,29,8.636423343000388
oneHunt,11,40,8.877620506000312
oneHunt,12,32,8.53213145799964
oneHunt,13,39,8.83976433800035
oneHunt,14,32,8.654094374000124
oneHunt,15,28,8.888465058000293
oneHunt,16,42,8.788939553000091
oneHunt,17,42,9.103949945999375
oneHunt,18,33,8.788872334999724
oneHunt,19,30,8.754269963999832
oneHunt,20,34,8.528205866999997
oneHunt,21,25,8.459120069000164
oneHunt,22,31,8.618013859999337
oneHunt,23,38,8.908676397999443
oneHunt,24,37,8.859510129999762
Average Score: 765.36
Scores:        762, 773, 748, 751, 766, 775, 766, 774, 772, 759, 771, 760, 768, 761, 768, 772, 758, 758, 767, 770, 766, 775, 769, 762, 763
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
