map,game,num_actions,time(s)
oneHunt,0,37,4.47263283600023
oneHunt,1,32,2.34479952699985
oneHunt,2,33,2.925022829000227
oneHunt,3,45,2.9794899700000315
oneHunt,4,47,2.602161281000008
oneHunt,5,52,7.947623358999408
oneHunt,6,35,2.441134869999587
oneHunt,7,44,3.299561453000024
oneHunt,8,32,2.599940200000674
oneHunt,9,37,4.5593949120002435
oneHunt,10,28,2.465062373999899
oneHunt,11,25,1.6453686469994864
oneHunt,12,46,4.8816750810001395
oneHunt,13,42,3.5084823850002067
oneHunt,14,36,3.235598017000484
oneHunt,15,42,2.898986721000256
oneHunt,16,34,3.2156787200001418
oneHunt,17,47,3.518606634999742
oneHunt,18,49,3.037741434000054
oneHunt,19,29,3.7688136749993646
oneHunt,20,38,3.608057325000118
oneHunt,21,35,4.800462957000491
oneHunt,22,29,3.3526395360004244
oneHunt,23,38,2.50842385299984
oneHunt,24,45,4.559111256000506
Average Score: 761.72
Scores:        763, 768, 767, 755, 753, 748, 765, 756, 768, 763, 772, 775, 754, 758, 764, 758, 766, 753, 751, 771, 762, 765, 771, 762, 755
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
