map,game,num_actions,time(s)
oneHunt,0,29,8.58826346999922
oneHunt,1,30,7.58464855100101
oneHunt,2,29,16.95454411799983
oneHunt,3,40,14.077385620999848
oneHunt,4,29,6.658072862001063
oneHunt,5,39,10.363375259999884
oneHunt,6,39,10.508705275999091
oneHunt,7,39,12.680179046001285
oneHunt,8,26,7.909285292000277
oneHunt,9,41,16.388529383000787
oneHunt,10,40,9.229648473999987
oneHunt,11,28,15.0675688299998
oneHunt,12,36,9.492620476999946
oneHunt,13,32,12.419087414000387
oneHunt,14,23,10.588901007000459
oneHunt,15,31,14.564225957999952
oneHunt,16,43,13.448464981000143
oneHunt,17,40,10.67920169900026
oneHunt,18,44,14.375149102999785
oneHunt,19,29,8.387347828000202
oneHunt,20,30,10.032340063000447
oneHunt,21,23,5.676824434000082
oneHunt,22,38,19.822269285001312
oneHunt,23,33,11.743295629001295
oneHunt,24,26,9.640296921999834
Average Score: 766.52
Scores:        771, 770, 771, 760, 771, 761, 761, 761, 774, 759, 760, 772, 764, 768, 777, 769, 757, 760, 756, 771, 770, 777, 762, 767, 774
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
