map,game,num_actions,time(s)
openHunt,0,51,2.841234820999489
openHunt,1,57,2.3979963400006454
openHunt,2,43,2.2303299620007238
openHunt,3,44,2.216465337000045
openHunt,4,59,2.5150805419998505
openHunt,5,54,2.475997026999721
openHunt,6,63,2.52464918700025
openHunt,7,49,2.2859611920002862
openHunt,8,39,2.1651888799997323
openHunt,9,41,2.5319352070000605
openHunt,10,56,2.4075981279993357
openHunt,11,60,2.6872820499993395
openHunt,12,59,2.480742511999779
openHunt,13,65,2.821963154000514
openHunt,14,72,2.774760127999798
openHunt,15,55,2.3945595269997284
openHunt,16,63,2.6992416160001085
openHunt,17,51,2.369130445000337
openHunt,18,50,2.3070584839997537
openHunt,19,79,4.008131903000503
openHunt,20,50,2.338218539999616
openHunt,21,51,2.360262918000444
openHunt,22,REMOVE
-49,2.350179035999645
openHunt,23,58,2.488652283999727
openHunt,24,75,3.025725863999469
Average Score: 748.2
Scores:        749, 743, 757, 756, 741, 746, 737, 751, 761, 759, 744, 740, 741, 735, 728, 745, 737, 749, 750, 721, 750, 749, 849, 742, 725
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
