map,game,num_actions,time(s)
openHunt,0,38,2.094137843999306
openHunt,1,28,1.8500425439997343
openHunt,2,30,2.2335413179998795
openHunt,3,56,2.651206036000076
openHunt,4,38,2.508055477999733
openHunt,5,45,2.5364093250000224
openHunt,6,45,1.8755841000001965
openHunt,7,40,2.1439013970002634
openHunt,8,32,2.097458467999786
openHunt,9,43,1.9823864310001227
openHunt,10,26,1.7201956179997069
openHunt,11,53,3.1042551530008495
openHunt,12,39,2.0362976759997764
openHunt,13,30,1.828344589000153
openHunt,14,42,2.067117522999979
openHunt,15,35,1.8328628509998453
openHunt,16,45,2.263316859999577
openHunt,17,32,1.7832465580004282
openHunt,18,30,2.0845115590000205
openHunt,19,25,1.6088700709997283
openHunt,20,31,2.087526003999301
openHunt,21,46,2.344633177000105
openHunt,22,53,2.332554947999597
openHunt,23,40,2.256822863000707
openHunt,24,43,1.8057900399999198
Average Score: 761.4
Scores:        762, 772, 770, 744, 762, 755, 755, 760, 768, 757, 774, 747, 761, 770, 758, 765, 755, 768, 770, 775, 769, 754, 747, 760, 757
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
