map,game,num_actions,time(s)
openHunt,0,43,4.819811000001209
openHunt,1,36,4.217202787998758
openHunt,2,28,3.203933782999229
openHunt,3,REMOVE
-74,3.6335211519999575
openHunt,4,35,4.813712716999362
openHunt,5,34,4.745965520998652
openHunt,6,REMOVE
-58,6.002248075001262
openHunt,7,30,4.461240577000353
openHunt,8,38,5.5513366109989875
openHunt,9,47,7.4324866339993605
openHunt,10,23,3.5824772710002435
openHunt,11,25,2.949740901000041
openHunt,12,32,4.526479513000595
openHunt,13,44,5.726709689000927
openHunt,14,40,3.7330868509998254
openHunt,15,36,5.641408544001024
openHunt,16,31,4.574367123999764
openHunt,17,40,6.253875977999996
openHunt,18,42,5.317550584999481
openHunt,19,37,4.479446852001274
openHunt,20,40,5.794375769999533
openHunt,21,35,4.626023388000249
openHunt,22,51,8.041837946999294
openHunt,23,42,4.6542171700002655
openHunt,24,44,5.49331054600043
Average Score: 771.16
Scores:        757, 764, 772, 874, 765, 766, 858, 770, 762, 753, 777, 775, 768, 756, 760, 764, 769, 760, 758, 763, 760, 765, 749, 758, 756
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
