map,game,num_actions,time(s)
smallHunt,0,45,2.057213607000449
smallHunt,1,24,1.61002138799995
smallHunt,2,48,1.9033617490003962
smallHunt,3,42,1.7977541760001259
smallHunt,4,32,1.7591614650000338
smallHunt,5,27,1.6142865730007543
smallHunt,6,30,1.6671053489999395
smallHunt,7,31,1.701260032999926
smallHunt,8,44,1.8326470199999676
smallHunt,9,32,1.6755122619997564
smallHunt,10,26,1.6155530850001014
smallHunt,11,37,1.7128400729998248
smallHunt,12,32,1.6969915739991848
smallHunt,13,29,1.6705089440001757
smallHunt,14,30,1.6936046450000504
smallHunt,15,45,1.9344077940004354
smallHunt,16,59,2.132703469000262
smallHunt,17,32,1.6888215849994594
smallHunt,18,52,2.1324442900004215
smallHunt,19,22,1.5167182410004898
smallHunt,20,35,1.6909372990003249
smallHunt,21,37,1.7681128650001483
smallHunt,22,33,1.681610331000229
smallHunt,23,38,1.736844820999977
smallHunt,24,72,2.3320542299998124
Average Score: 762.64
Scores:        755, 776, 752, 758, 768, 773, 770, 769, 756, 768, 774, 763, 768, 771, 770, 755, 741, 768, 748, 778, 765, 763, 767, 762, 728
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
