map,game,num_actions,time(s)
smallHunt,0,35,1.9333492839996325
smallHunt,1,20,1.5680747710002834
smallHunt,2,18,1.532472649999363
smallHunt,3,34,1.8104147559997728
smallHunt,4,30,1.6785258239997347
smallHunt,5,35,1.771860067000489
smallHunt,6,31,1.70876858200063
smallHunt,7,20,1.5612214239999957
smallHunt,8,23,1.5954070039997532
smallHunt,9,26,1.6637089870000636
smallHunt,10,24,1.5985170980002295
smallHunt,11,27,1.660728270000618
smallHunt,12,25,1.65087403599955
smallHunt,13,19,1.5329123040000923
smallHunt,14,28,1.6685344829993483
smallHunt,15,20,1.539184856999782
smallHunt,16,23,1.606852219000757
smallHunt,17,23,1.6018109919996277
smallHunt,18,33,1.7378904479992343
smallHunt,19,26,1.650781729999835
smallHunt,20,19,1.5432801420001852
smallHunt,21,25,1.658729097000105
smallHunt,22,27,1.6638402969992967
smallHunt,23,29,1.7264958870000555
smallHunt,24,25,1.6718856859997686
Average Score: 774.2
Scores:        765, 780, 782, 766, 770, 765, 769, 780, 777, 774, 776, 773, 775, 781, 772, 780, 777, 777, 767, 774, 781, 775, 773, 771, 775
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
