map,game,num_actions,time(s)
smallHunt,0,33,1.7783371960003933
smallHunt,1,31,1.5354267749999053
smallHunt,2,39,1.6010002990005887
smallHunt,3,28,1.6056103460005033
smallHunt,4,32,1.702470930000345
smallHunt,5,20,1.500210571000025
smallHunt,6,19,1.3993009640007585
smallHunt,7,42,1.8274672260004081
smallHunt,8,22,1.4936253760006366
smallHunt,9,23,1.4506405379997886
smallHunt,10,22,1.4395562090003295
smallHunt,11,26,1.5153464430004533
smallHunt,12,27,1.4537118799999007
smallHunt,13,29,1.5358459529998072
smallHunt,14,22,1.446625915000368
smallHunt,15,23,1.4753339280005093
smallHunt,16,27,1.5289781680003216
smallHunt,17,24,1.4356260879994807
smallHunt,18,29,1.5451311060005537
smallHunt,19,18,1.416123177999907
smallHunt,20,21,1.398699915999714
smallHunt,21,31,1.5289943799998582
smallHunt,22,30,1.5679230040004768
smallHunt,23,23,1.5006102910001573
smallHunt,24,22,1.4271950349993858
Average Score: 773.48
Scores:        767, 769, 761, 772, 768, 780, 781, 758, 778, 777, 778, 774, 773, 771, 778, 777, 773, 776, 771, 782, 779, 769, 770, 777, 778
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
